epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.402,1.47839,3.61221,0.0189,0.51652,0.3051,0.31337,0.15323,1.71021,2.36498,0.02804,0.00501024,0.00501024,0.0716974
2,390.919,1.59215,2.6865,0.021,0.39851,0.27246,0.2408,0.10719,1.92843,2.53214,0.03279,0.0096928,0.0096928,0.0430467
3,572.522,1.87298,2.93228,0.0258,0.25111,0.15006,0.08512,0.03474,2.29411,4.06718,0.04224,0.0140445,0.0140445,0.014065
4,750.784,2.06086,3.21969,0.0287,0.42127,0.23368,0.19107,0.07055,2.06631,2.68215,0.03449,0.013551,0.013551,0.013551
5,922.633,2.00361,3.11091,0.02794,0.46773,0.24323,0.22226,0.08226,2.02969,2.59432,0.03526,0.0130547,0.0130547,0.0130547
6,1095.17,1.98563,3.02177,0.02738,0.41344,0.26159,0.25766,0.10564,2.03885,2.526,0.03419,0.0125584,0.0125584,0.0125584
7,1267.43,1.95423,3.01487,0.02702,0.41458,0.29216,0.26752,0.10897,1.98717,2.39355,0.03407,0.0120621,0.0120621,0.0120621
8,1441.86,1.95927,2.98756,0.02724,0.44779,0.24636,0.24832,0.10457,1.91681,2.54561,0.03239,0.0115658,0.0115658,0.0115658
9,1620.02,1.94461,2.94477,0.0268,0.47721,0.31516,0.31525,0.13548,1.95594,2.34566,0.03345,0.0110694,0.0110694,0.0110694
10,1798.72,1.93562,2.92881,0.02681,0.44425,0.3127,0.31834,0.13635,1.91213,2.28374,0.03319,0.0105731,0.0105731,0.0105731
11,1976.36,1.91464,2.92391,0.02621,0.46861,0.32776,0.32384,0.14498,1.84499,2.30988,0.03082,0.0100768,0.0100768,0.0100768
12,2154.58,1.90464,2.90384,0.02616,0.47156,0.31161,0.3233,0.1463,1.82413,2.31466,0.03045,0.00958048,0.00958048,0.00958048
13,2331.89,1.89712,2.85484,0.02612,0.49466,0.34866,0.35503,0.16556,1.80331,2.23925,0.03018,0.00908416,0.00908416,0.00908416
14,2509.69,1.8964,2.81143,0.026,0.47031,0.33556,0.34563,0.16218,1.80135,2.2176,0.02982,0.00858784,0.00858784,0.00858784
15,2682.92,1.88127,2.77504,0.02584,0.4677,0.37089,0.36898,0.17025,1.80285,2.15742,0.03033,0.00809152,0.00809152,0.00809152
16,2857.21,1.87758,2.74073,0.0256,0.50729,0.3732,0.37512,0.17885,1.77558,2.12224,0.02948,0.0075952,0.0075952,0.0075952
17,3030.56,1.86482,2.72777,0.02552,0.54019,0.36526,0.3862,0.18549,1.77958,2.11761,0.02971,0.00709888,0.00709888,0.00709888
18,3207.17,1.846,2.69094,0.02525,0.5092,0.38721,0.39689,0.19276,1.74808,2.07575,0.02908,0.00660256,0.00660256,0.00660256
19,3382.78,1.82629,2.68487,0.02481,0.55153,0.36679,0.39711,0.19605,1.73702,2.06285,0.02915,0.00610624,0.00610624,0.00610624
20,3557.27,1.80057,2.61619,0.02466,0.55954,0.38503,0.41302,0.20299,1.72464,2.02167,0.0288,0.00560992,0.00560992,0.00560992
21,3747,1.97133,2.70851,0.0345,0.53982,0.36401,0.38565,0.19449,1.68565,2.11142,0.02741,0.0051136,0.0051136,0.0051136
22,3920.97,1.95103,2.65151,0.03406,0.55377,0.37702,0.39431,0.19962,1.70179,2.04761,0.02755,0.00461728,0.00461728,0.00461728
23,4093.93,1.91926,2.54905,0.0333,0.5434,0.3804,0.40321,0.20429,1.67912,2.03217,0.02725,0.00412096,0.00412096,0.00412096
24,4266.77,1.90449,2.46208,0.03281,0.54977,0.388,0.4167,0.21284,1.67758,1.9961,0.02734,0.00362464,0.00362464,0.00362464
25,4439.23,1.87844,2.38636,0.03224,0.55367,0.39813,0.42559,0.21888,1.66483,1.97921,0.02723,0.00312832,0.00312832,0.00312832
26,4612.37,1.83964,2.27218,0.03129,0.565,0.39628,0.42823,0.21999,1.66305,1.97368,0.02733,0.002632,0.002632,0.002632
27,4785.45,1.80031,2.16044,0.03044,0.57098,0.39387,0.43261,0.22088,1.67599,1.97576,0.0277,0.00213568,0.00213568,0.00213568
28,4958.83,1.75934,2.05381,0.02971,0.5855,0.3888,0.43239,0.21989,1.69238,1.99976,0.02816,0.00163936,0.00163936,0.00163936
29,5131.98,1.70768,1.91312,0.02859,0.58625,0.37667,0.42391,0.21354,1.7116,2.06211,0.02874,0.00114304,0.00114304,0.00114304
30,5304.38,1.64514,1.77301,0.02696,0.59806,0.36097,0.41369,0.20538,1.74203,2.1454,0.0296,0.00064672,0.00064672,0.00064672
