epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9012.5,1.37694,1.35028,0.01706,0.78911,0.62521,0.72145,0.43986,1.43592,1.09431,0.02143,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9281.89,1.35318,1.32522,0.01663,0.7827,0.62705,0.72175,0.44046,1.43328,1.09696,0.02141,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9553.81,1.3584,1.32099,0.01665,0.77122,0.63056,0.72237,0.44266,1.43271,1.09251,0.02145,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9827.35,1.34977,1.32454,0.01666,0.7825,0.62738,0.72493,0.44437,1.42819,1.09199,0.02134,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10104.6,1.33698,1.2974,0.01634,0.79097,0.62579,0.72544,0.44529,1.42444,1.0928,0.02126,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10378.1,1.33372,1.28158,0.01628,0.78574,0.62812,0.72579,0.44611,1.42164,1.09131,0.02125,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10645.3,1.32806,1.27213,0.01621,0.78741,0.62988,0.72791,0.44772,1.42055,1.08439,0.02125,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10911.8,1.33538,1.24836,0.01623,0.78297,0.63416,0.72842,0.44893,1.41974,1.08058,0.0212,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11185.3,1.32058,1.23654,0.01607,0.77681,0.63768,0.72906,0.45016,1.41945,1.07792,0.02123,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11463.1,1.32007,1.25154,0.01602,0.78786,0.63267,0.7304,0.45139,1.41861,1.0713,0.02122,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
