epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.383,1.41994,3.7032,0.01941,0.48472,0.30608,0.31185,0.15736,1.63376,2.2446,0.02595,0.00366441,0.00366441,0.0703516
2,391.613,1.45475,2.60766,0.02015,0.54235,0.36628,0.39293,0.19478,1.68421,2.08459,0.02789,0.00708915,0.00708915,0.040443
3,573.053,1.53993,2.44215,0.02155,0.55777,0.42458,0.44473,0.21021,1.78639,1.91938,0.02986,0.0102719,0.0102719,0.0102924
4,750.851,1.59499,2.36391,0.02249,0.6076,0.4587,0.50745,0.2488,1.74197,1.76906,0.02861,0.009911,0.009911,0.009911
5,929.9,1.56693,2.22702,0.02205,0.61628,0.46156,0.5043,0.24954,1.72895,1.78039,0.02834,0.009548,0.009548,0.009548
6,1107.36,1.54822,2.1218,0.0215,0.66571,0.48739,0.54774,0.2883,1.68555,1.63766,0.02702,0.009185,0.009185,0.009185
7,1286.03,1.5438,2.04471,0.02161,0.63439,0.52062,0.56546,0.2922,1.68481,1.54304,0.02705,0.008822,0.008822,0.008822
8,1463.2,1.52711,1.98833,0.0214,0.64747,0.54141,0.59225,0.3147,1.63716,1.48894,0.02619,0.008459,0.008459,0.008459
9,1641.67,1.51628,1.92534,0.02104,0.67992,0.54287,0.60564,0.32742,1.6338,1.43974,0.02601,0.008096,0.008096,0.008096
10,1820.5,1.50566,1.87423,0.02085,0.68835,0.57545,0.62614,0.34222,1.60299,1.38589,0.02531,0.007733,0.007733,0.007733
11,1999.54,1.49079,1.83026,0.02039,0.71071,0.56446,0.63864,0.3556,1.57895,1.33496,0.02503,0.00737,0.00737,0.00737
12,2176.39,1.48282,1.78661,0.02029,0.7264,0.5814,0.66256,0.3695,1.56198,1.29076,0.0249,0.007007,0.007007,0.007007
13,2350.76,1.47535,1.73453,0.02018,0.70001,0.58347,0.6598,0.37331,1.53565,1.28735,0.02399,0.006644,0.006644,0.006644
14,2524.73,1.45788,1.68561,0.01983,0.73472,0.58744,0.67271,0.37976,1.53393,1.26239,0.02419,0.006281,0.006281,0.006281
15,2698.52,1.44034,1.6547,0.0195,0.72784,0.6021,0.67753,0.38924,1.52394,1.23307,0.02387,0.005918,0.005918,0.005918
16,2873.41,1.42853,1.61143,0.01921,0.73217,0.62424,0.69461,0.40299,1.49818,1.19646,0.023,0.005555,0.005555,0.005555
17,3047.85,1.41508,1.58024,0.01897,0.72126,0.61635,0.6922,0.40495,1.49641,1.19036,0.02312,0.005192,0.005192,0.005192
18,3225.38,1.39996,1.53448,0.01868,0.74752,0.61678,0.69961,0.41242,1.49093,1.15474,0.02289,0.004829,0.004829,0.004829
19,3403.18,1.3902,1.50228,0.0184,0.77137,0.62027,0.71571,0.42432,1.48345,1.1137,0.0227,0.004466,0.004466,0.004466
20,3582.11,1.36382,1.43839,0.01809,0.76926,0.63773,0.7239,0.4324,1.47616,1.09904,0.02254,0.004103,0.004103,0.004103
21,3770.85,1.45834,1.21364,0.02335,0.7716,0.63622,0.73072,0.44081,1.45546,1.06847,0.02216,0.00374,0.00374,0.00374
22,3944.37,1.41883,1.14204,0.0223,0.76778,0.64616,0.73646,0.44694,1.43962,1.07518,0.02171,0.003377,0.003377,0.003377
23,4117.9,1.38277,1.07179,0.02148,0.78313,0.64695,0.7424,0.45321,1.42734,1.05722,0.02138,0.003014,0.003014,0.003014
24,4292.89,1.3428,1.02438,0.02052,0.78939,0.64613,0.74607,0.45869,1.43175,1.04717,0.02133,0.002651,0.002651,0.002651
25,4468.77,1.31512,0.95233,0.01979,0.8079,0.64321,0.74769,0.46246,1.42676,1.03815,0.02116,0.002288,0.002288,0.002288
26,4643.55,1.268,0.90484,0.01877,0.78369,0.65966,0.75223,0.46717,1.42702,1.02088,0.02107,0.001925,0.001925,0.001925
27,4819.71,1.2338,0.85986,0.01805,0.79204,0.66452,0.75419,0.47048,1.42494,1.00725,0.02098,0.001562,0.001562,0.001562
28,5002.6,1.1952,0.81427,0.01727,0.79746,0.66834,0.75642,0.4741,1.42512,0.99454,0.02096,0.001199,0.001199,0.001199
