epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.146,1.44092,3.96044,0.01787,0.36275,0.2371,0.22781,0.12286,1.53847,2.51446,0.02386,0.00165231,0.00165231,0.0683395
2,395.443,1.41684,2.78264,0.01757,0.53917,0.34657,0.36136,0.19156,1.5449,2.14278,0.02482,0.00319656,0.00319656,0.0365504
3,575.873,1.42546,2.45788,0.01781,0.56263,0.40584,0.44286,0.23551,1.55977,1.88462,0.02535,0.00463169,0.00463169,0.00465223
4,755.248,1.42293,2.29668,0.01785,0.61543,0.4359,0.49724,0.26511,1.55206,1.79132,0.02485,0.00446896,0.00446896,0.00446896
5,933.828,1.41359,2.14141,0.01782,0.62025,0.48132,0.54235,0.28503,1.57081,1.66574,0.02474,0.00430528,0.00430528,0.00430528
6,1112.79,1.40675,2.02654,0.01742,0.6387,0.50071,0.56355,0.30691,1.57022,1.56549,0.02489,0.0041416,0.0041416,0.0041416
7,1291.74,1.40006,1.93351,0.01745,0.65011,0.53269,0.59306,0.32755,1.53194,1.47799,0.02411,0.00397792,0.00397792,0.00397792
8,1471.83,1.38539,1.86,0.01728,0.68436,0.54859,0.61457,0.34345,1.51151,1.41863,0.02364,0.00381424,0.00381424,0.00381424
9,1651.57,1.39044,1.78635,0.01715,0.69388,0.57186,0.63637,0.35136,1.53008,1.37483,0.02389,0.00365056,0.00365056,0.00365056
10,1828.98,1.37327,1.72743,0.01691,0.69673,0.58073,0.64852,0.36583,1.50687,1.32013,0.02342,0.00348688,0.00348688,0.00348688
11,2006.13,1.36521,1.68073,0.01675,0.7136,0.57771,0.65717,0.37124,1.518,1.32646,0.02381,0.0033232,0.0033232,0.0033232
12,2183.27,1.35917,1.62856,0.01654,0.70734,0.58875,0.66653,0.38155,1.50136,1.26465,0.02337,0.00315952,0.00315952,0.00315952
13,2358.32,1.34109,1.57537,0.01632,0.7131,0.60452,0.6694,0.38632,1.4791,1.27031,0.02245,0.00299584,0.00299584,0.00299584
14,2535.71,1.33315,1.53825,0.01611,0.70515,0.61423,0.68197,0.39776,1.46246,1.23883,0.02225,0.00283216,0.00283216,0.00283216
15,2715.19,1.32666,1.49669,0.01597,0.74118,0.61081,0.69479,0.40577,1.47184,1.20233,0.02259,0.00266848,0.00266848,0.00266848
16,2891.58,1.31939,1.44636,0.01579,0.73028,0.62009,0.69993,0.41115,1.46367,1.18245,0.02232,0.0025048,0.0025048,0.0025048
17,3067.32,1.3088,1.41735,0.01562,0.74637,0.62053,0.70374,0.41783,1.45334,1.16192,0.02198,0.00234112,0.00234112,0.00234112
18,3241.46,1.29972,1.39112,0.0155,0.75309,0.63671,0.71199,0.42348,1.45328,1.14396,0.02202,0.00217744,0.00217744,0.00217744
19,3416.87,1.29305,1.36243,0.01528,0.76014,0.62616,0.71498,0.42813,1.44973,1.12422,0.02194,0.00201376,0.00201376,0.00201376
20,3589.92,1.26791,1.3212,0.01511,0.75476,0.63392,0.71783,0.4307,1.44297,1.116,0.02186,0.00185008,0.00185008,0.00185008
21,3780.31,1.32529,1.14332,0.01989,0.76397,0.63662,0.72549,0.4383,1.44035,1.09718,0.02163,0.0016864,0.0016864,0.0016864
22,3954.5,1.30179,1.10098,0.0194,0.76915,0.64367,0.73124,0.44304,1.43885,1.08492,0.02157,0.00152272,0.00152272,0.00152272
23,4128.34,1.27812,1.0325,0.01871,0.75638,0.65616,0.73551,0.44636,1.42992,1.07794,0.02138,0.00135904,0.00135904,0.00135904
24,4302.59,1.25824,1.00417,0.01837,0.7715,0.64984,0.73724,0.44944,1.4251,1.06561,0.02129,0.00119536,0.00119536,0.00119536
25,4475.94,1.24102,0.96363,0.01789,0.76765,0.65968,0.74015,0.45206,1.41819,1.06641,0.02119,0.00103168,0.00103168,0.00103168
26,4649.2,1.21932,0.94007,0.01745,0.76507,0.66354,0.74255,0.45541,1.41899,1.05848,0.0211,0.000868,0.000868,0.000868
27,4822.55,1.2041,0.91318,0.01714,0.76675,0.66011,0.74221,0.45626,1.41508,1.05888,0.02102,0.00070432,0.00070432,0.00070432
28,4996.57,1.18381,0.89359,0.01669,0.76311,0.66015,0.74276,0.45726,1.41427,1.05403,0.02096,0.00054064,0.00054064,0.00054064
29,5172.28,1.16681,0.86151,0.01648,0.76399,0.66688,0.74338,0.45837,1.41588,1.04962,0.02097,0.00037696,0.00037696,0.00037696
30,5346.08,1.15593,0.85435,0.01625,0.76528,0.66851,0.74444,0.45823,1.41662,1.04797,0.02099,0.00021328,0.00021328,0.00021328
