epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.196,1.45775,3.61174,0.01903,0.49581,0.31913,0.31787,0.16516,1.6224,2.30186,0.02618,0.0054633,0.0054633,0.0721505
2,391.503,1.52901,2.61345,0.02038,0.51671,0.36642,0.38009,0.18704,1.77215,2.09619,0.03001,0.0105693,0.0105693,0.0439231
3,572.116,1.63957,2.49869,0.02219,0.52617,0.36522,0.38398,0.18023,1.78324,2.08985,0.02965,0.0153145,0.0153145,0.015335
4,750.677,1.66574,2.4487,0.02258,0.59686,0.44409,0.48578,0.22596,1.81414,1.84683,0.03018,0.0147764,0.0147764,0.0147764
5,928.718,1.6342,2.2959,0.02208,0.63003,0.45825,0.50583,0.24207,1.76637,1.7641,0.02942,0.0142352,0.0142352,0.0142352
6,1107.32,1.61745,2.19427,0.02163,0.62066,0.47866,0.53404,0.27168,1.71033,1.69075,0.02833,0.013694,0.013694,0.013694
7,1286.91,1.59876,2.09737,0.02144,0.63922,0.48589,0.54878,0.28019,1.69616,1.61034,0.02732,0.0131528,0.0131528,0.0131528
8,1466.37,1.58308,2.02335,0.02126,0.65171,0.52896,0.58315,0.30866,1.64967,1.49616,0.0265,0.0126116,0.0126116,0.0126116
9,1645.59,1.56819,1.97244,0.02079,0.68348,0.53144,0.60313,0.31949,1.6394,1.45355,0.02641,0.0120704,0.0120704,0.0120704
10,1820.56,1.55232,1.92354,0.0206,0.71163,0.55448,0.62519,0.33195,1.62164,1.41639,0.0257,0.0115292,0.0115292,0.0115292
11,1994.65,1.53933,1.86936,0.02022,0.70077,0.56095,0.64002,0.34961,1.5986,1.33362,0.02548,0.010988,0.010988,0.010988
12,2171.41,1.534,1.82557,0.02014,0.68128,0.5676,0.63353,0.34829,1.5628,1.3505,0.02484,0.0104468,0.0104468,0.0104468
13,2348.19,1.51558,1.77925,0.01988,0.73221,0.56475,0.65602,0.36215,1.55471,1.31751,0.02443,0.0099056,0.0099056,0.0099056
14,2528.22,1.50191,1.72567,0.01956,0.72321,0.58437,0.66343,0.37276,1.54089,1.27477,0.02433,0.0093644,0.0093644,0.0093644
15,2706.9,1.48715,1.69738,0.01929,0.74675,0.5903,0.67313,0.38171,1.53,1.25207,0.02402,0.0088232,0.0088232,0.0088232
16,2884.7,1.46448,1.65124,0.01886,0.7208,0.60556,0.68047,0.38908,1.53622,1.21528,0.02405,0.008282,0.008282,0.008282
17,3061.67,1.45159,1.62045,0.01864,0.73911,0.60669,0.68707,0.39433,1.50443,1.19986,0.02338,0.0077408,0.0077408,0.0077408
18,3236.98,1.43602,1.5761,0.01847,0.75258,0.61709,0.70029,0.40477,1.51832,1.17104,0.02356,0.0071996,0.0071996,0.0071996
19,3412.49,1.43201,1.54291,0.01818,0.76646,0.6128,0.7063,0.4134,1.51662,1.13078,0.02342,0.0066584,0.0066584,0.0066584
20,3587.68,1.40762,1.48203,0.01799,0.79245,0.60855,0.71583,0.41945,1.50666,1.12518,0.0232,0.0061172,0.0061172,0.0061172
21,3776.86,1.50612,1.28942,0.02396,0.78377,0.62787,0.7249,0.42714,1.49428,1.10252,0.02285,0.005576,0.005576,0.005576
22,3950.19,1.47334,1.22957,0.02309,0.76962,0.63964,0.72934,0.43069,1.47905,1.09947,0.02245,0.0050348,0.0050348,0.0050348
23,4123.12,1.4337,1.14723,0.0221,0.78635,0.64219,0.7357,0.43867,1.47684,1.07084,0.02234,0.0044936,0.0044936,0.0044936
24,4296.3,1.39469,1.09241,0.02131,0.78353,0.64791,0.73947,0.44389,1.47138,1.05294,0.02222,0.0039524,0.0039524,0.0039524
25,4469.08,1.36681,1.02567,0.02053,0.80587,0.63428,0.74123,0.44871,1.46051,1.04858,0.02196,0.0034112,0.0034112,0.0034112
26,4641.94,1.32005,0.97869,0.01949,0.81112,0.64179,0.74519,0.45352,1.44996,1.04199,0.02169,0.00287,0.00287,0.00287
27,4815.25,1.28637,0.92521,0.01878,0.81769,0.64489,0.74807,0.45759,1.44285,1.02965,0.02154,0.0023288,0.0023288,0.0023288
28,4988.12,1.24582,0.88085,0.018,0.81824,0.64822,0.75017,0.45959,1.43992,1.02473,0.02149,0.0017876,0.0017876,0.0017876
29,5160.53,1.21511,0.8418,0.01742,0.81675,0.64574,0.75036,0.46105,1.44058,1.01799,0.02147,0.0012464,0.0012464,0.0012464
30,5333.06,1.18797,0.81598,0.01686,0.81662,0.65504,0.753,0.46318,1.4384,1.01484,0.02144,0.0007052,0.0007052,0.0007052
