epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.312,1.45553,3.96134,0.01788,0.39868,0.24674,0.24105,0.12726,1.58933,2.48156,0.02476,0.00147576,0.00147576,0.068163
2,390.242,1.43529,2.74642,0.01776,0.5136,0.37098,0.37859,0.19275,1.60481,2.09196,0.02608,0.00285499,0.00285499,0.0362089
3,566.881,1.48157,2.43959,0.01855,0.54287,0.39611,0.42715,0.2109,1.67799,1.93657,0.02788,0.00413677,0.00413677,0.00415731
4,741.243,1.53229,2.32531,0.01938,0.62244,0.45134,0.50481,0.2575,1.66405,1.76763,0.02771,0.00399143,0.00399143,0.00399143
5,915.59,1.52722,2.16809,0.01948,0.58919,0.4626,0.50296,0.25143,1.68206,1.7436,0.02739,0.00384524,0.00384524,0.00384524
6,1088.99,1.53223,2.05637,0.0192,0.62211,0.50057,0.54918,0.28582,1.64822,1.60608,0.02675,0.00369905,0.00369905,0.00369905
7,1263.68,1.51706,1.98865,0.01923,0.64578,0.51713,0.57356,0.30012,1.64541,1.52439,0.02639,0.00355286,0.00355286,0.00355286
8,1439.38,1.508,1.93839,0.0191,0.69034,0.54999,0.61808,0.32712,1.62195,1.43713,0.02635,0.00340667,0.00340667,0.00340667
9,1619.59,1.51484,1.87201,0.01898,0.68305,0.56497,0.62119,0.33537,1.60653,1.38004,0.02563,0.00326048,0.00326048,0.00326048
10,1797.18,1.49853,1.82116,0.01882,0.69222,0.57752,0.63553,0.35133,1.57825,1.34999,0.02477,0.00311429,0.00311429,0.00311429
11,1975.11,1.49272,1.79047,0.01864,0.70562,0.5934,0.6539,0.35793,1.57624,1.32021,0.0248,0.0029681,0.0029681,0.0029681
12,2153.24,1.48811,1.73203,0.01848,0.70453,0.57574,0.65372,0.36263,1.55319,1.29064,0.02478,0.00282191,0.00282191,0.00282191
13,2330.94,1.47501,1.69304,0.01835,0.71024,0.60115,0.66798,0.37353,1.54621,1.24454,0.02417,0.00267572,0.00267572,0.00267572
14,2509.01,1.46842,1.64757,0.01818,0.76417,0.60172,0.68923,0.39279,1.52543,1.20527,0.02374,0.00252953,0.00252953,0.00252953
15,2687.41,1.46137,1.61139,0.01794,0.7605,0.59923,0.68982,0.39433,1.52938,1.19789,0.02378,0.00238334,0.00238334,0.00238334
16,2865.65,1.44704,1.58001,0.01763,0.75457,0.60652,0.69334,0.39929,1.5108,1.18432,0.02327,0.00223715,0.00223715,0.00223715
17,3044.27,1.42812,1.55532,0.01739,0.73682,0.62388,0.70182,0.40905,1.49209,1.16764,0.0229,0.00209096,0.00209096,0.00209096
18,3223.02,1.421,1.50394,0.01732,0.76495,0.62366,0.71263,0.41539,1.50043,1.13631,0.02298,0.00194477,0.00194477,0.00194477
19,3400.75,1.40465,1.47448,0.01688,0.77736,0.63251,0.72071,0.42414,1.49168,1.10821,0.0227,0.00179858,0.00179858,0.00179858
20,3579.12,1.3815,1.42193,0.01674,0.76309,0.64383,0.7229,0.42733,1.48696,1.09821,0.02261,0.00165239,0.00165239,0.00165239
21,3768.21,1.45738,1.2649,0.02264,0.77227,0.63816,0.72811,0.43562,1.4683,1.09326,0.02232,0.0015062,0.0015062,0.0015062
22,3941.35,1.42524,1.21033,0.02181,0.78474,0.63543,0.73286,0.44042,1.46591,1.07466,0.02225,0.00136001,0.00136001,0.00136001
23,4113.89,1.39905,1.12487,0.02109,0.80087,0.63299,0.74035,0.44495,1.46339,1.0598,0.02213,0.00121382,0.00121382,0.00121382
24,4286.54,1.36726,1.07256,0.02043,0.79864,0.64421,0.74259,0.45074,1.45866,1.0389,0.02182,0.00106763,0.00106763,0.00106763
25,4458.7,1.33291,1.00852,0.01958,0.80888,0.64507,0.74973,0.45657,1.46018,1.01975,0.02174,0.00092144,0.00092144,0.00092144
26,4632,1.30085,0.9634,0.01885,0.79801,0.65671,0.75229,0.45844,1.45741,1.01147,0.02167,0.00077525,0.00077525,0.00077525
27,4804.58,1.26018,0.91623,0.018,0.79611,0.66002,0.75346,0.4614,1.45256,1.00064,0.02159,0.00062906,0.00062906,0.00062906
28,4977.56,1.22789,0.86992,0.01727,0.78345,0.67117,0.7551,0.46583,1.44678,0.99754,0.02147,0.00048287,0.00048287,0.00048287
29,5150.2,1.18796,0.82235,0.01669,0.7957,0.66869,0.75787,0.46813,1.44191,0.99313,0.02139,0.00033668,0.00033668,0.00033668
30,5322.49,1.15497,0.78926,0.01605,0.80076,0.66923,0.75763,0.4698,1.4407,0.98936,0.02133,0.00019049,0.00019049,0.00019049
