epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.715,1.41526,3.97279,0.01845,0.42003,0.24747,0.2381,0.12236,1.53523,2.51705,0.02385,0.00171228,0.00171228,0.0683995
2,562.234,1.38781,2.78831,0.01805,0.52931,0.35207,0.37365,0.19349,1.54718,2.08876,0.02467,0.00331257,0.00331257,0.0366664
3,815.563,1.39003,2.45701,0.01823,0.54188,0.40154,0.42235,0.21845,1.57358,1.94909,0.02543,0.00479977,0.00479977,0.00482031
4,1074.66,1.39297,2.29407,0.01825,0.60804,0.46376,0.51127,0.27048,1.54352,1.71193,0.02507,0.00463114,0.00463114,0.00463114
5,1327.66,1.38038,2.14976,0.01821,0.61684,0.46123,0.52019,0.27824,1.59493,1.69226,0.02547,0.00446152,0.00446152,0.00446152
6,1572.25,1.37937,2.03435,0.01801,0.65822,0.51423,0.57859,0.31155,1.58781,1.52285,0.02573,0.0042919,0.0042919,0.0042919
7,1764.15,1.37481,1.95156,0.01809,0.65158,0.53247,0.59178,0.31911,1.54643,1.50686,0.02421,0.00412228,0.00412228,0.00412228
8,1955.02,1.37826,1.87126,0.01808,0.68739,0.54933,0.62262,0.34654,1.53053,1.40441,0.02379,0.00395266,0.00395266,0.00395266
9,2268.73,1.37975,1.79876,0.01798,0.71519,0.55707,0.63983,0.35716,1.51707,1.36284,0.02365,0.00378304,0.00378304,0.00378304
10,2635.93,1.36559,1.75219,0.01777,0.70169,0.58468,0.65286,0.36906,1.51704,1.31543,0.02371,0.00361342,0.00361342,0.00361342
11,3022.03,1.35688,1.70244,0.01753,0.71351,0.57962,0.65842,0.37327,1.51945,1.283,0.02345,0.0034438,0.0034438,0.0034438
12,3403.52,1.34862,1.65984,0.01732,0.74276,0.59125,0.67691,0.38761,1.4941,1.24855,0.02315,0.00327418,0.00327418,0.00327418
13,3747.97,1.34219,1.60934,0.01728,0.73239,0.60158,0.67869,0.39193,1.48665,1.22429,0.02259,0.00310456,0.00310456,0.00310456
14,3938.78,1.331,1.55436,0.01698,0.73685,0.61696,0.69163,0.40649,1.46548,1.20444,0.02225,0.00293494,0.00293494,0.00293494
15,4127.88,1.32411,1.51914,0.01683,0.73981,0.61971,0.6961,0.40607,1.477,1.18097,0.02269,0.00276532,0.00276532,0.00276532
16,4315.64,1.31591,1.48272,0.01666,0.75888,0.61852,0.70338,0.41455,1.47138,1.14874,0.02235,0.0025957,0.0025957,0.0025957
