epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.268,1.42459,3.88276,0.0185,0.42586,0.27356,0.25806,0.13027,1.56128,2.41694,0.02483,0.00185552,0.00185552,0.0685427
2,424.849,1.40331,2.7287,0.01829,0.55317,0.3305,0.36295,0.18926,1.57966,2.16496,0.02505,0.00358969,0.00358969,0.0369436
3,629.464,1.43702,2.42617,0.01896,0.582,0.42162,0.45954,0.23504,1.6027,1.88918,0.02635,0.00520131,0.00520131,0.00522185
4,823.595,1.46337,2.27654,0.01934,0.64451,0.46241,0.52027,0.26947,1.62396,1.69584,0.02617,0.00501857,0.00501857,0.00501857
5,1013.7,1.44777,2.11837,0.01921,0.65965,0.49368,0.54652,0.27797,1.63836,1.6302,0.02637,0.00483476,0.00483476,0.00483476
6,1205.23,1.43713,2.00546,0.01875,0.6441,0.51488,0.57408,0.30562,1.59476,1.54456,0.02554,0.00465095,0.00465095,0.00465095
7,1395.78,1.43341,1.91854,0.01887,0.65537,0.55276,0.60744,0.31945,1.58675,1.44926,0.02519,0.00446714,0.00446714,0.00446714
8,1587.38,1.42086,1.84839,0.01868,0.67965,0.55974,0.62631,0.34111,1.57713,1.37622,0.02488,0.00428333,0.00428333,0.00428333
9,1776.31,1.41413,1.77377,0.01839,0.68107,0.57526,0.63785,0.34921,1.56599,1.38602,0.02458,0.00409952,0.00409952,0.00409952
10,1962.45,1.39539,1.72277,0.0181,0.71065,0.56884,0.6436,0.35806,1.55202,1.32697,0.02442,0.00391571,0.00391571,0.00391571
11,2149.28,1.38801,1.67398,0.01787,0.7292,0.58813,0.66073,0.37386,1.53121,1.27287,0.02403,0.0037319,0.0037319,0.0037319
12,2334.61,1.38107,1.62648,0.01773,0.71638,0.60981,0.67487,0.38636,1.50888,1.24732,0.02352,0.00354809,0.00354809,0.00354809
13,2517.88,1.36735,1.56596,0.01751,0.71256,0.61414,0.68091,0.38977,1.51183,1.2103,0.02314,0.00336428,0.00336428,0.00336428
14,2701.02,1.36008,1.51369,0.01727,0.76227,0.60926,0.70239,0.4069,1.48896,1.169,0.02288,0.00318047,0.00318047,0.00318047
15,2884.3,1.34495,1.47739,0.01703,0.76977,0.62863,0.71793,0.4182,1.48581,1.12778,0.02264,0.00299666,0.00299666,0.00299666
16,3066.37,1.33585,1.42391,0.01681,0.75065,0.62437,0.71408,0.42046,1.47122,1.1203,0.02221,0.00281285,0.00281285,0.00281285
17,3249.24,1.32901,1.39386,0.0166,0.75174,0.64971,0.72105,0.42595,1.47397,1.09679,0.02231,0.00262904,0.00262904,0.00262904
18,3424.35,1.31055,1.35243,0.01639,0.76012,0.65052,0.72829,0.43508,1.46626,1.07405,0.02198,0.00244523,0.00244523,0.00244523
19,3599.8,1.29853,1.32837,0.01603,0.77771,0.64615,0.73321,0.44013,1.46654,1.04789,0.022,0.00226142,0.00226142,0.00226142
20,3774.24,1.27744,1.26711,0.01586,0.77011,0.65347,0.73927,0.44241,1.47371,1.03506,0.02211,0.00207761,0.00207761,0.00207761
21,3964.91,1.34121,1.08301,0.02034,0.78738,0.64624,0.74083,0.45042,1.45466,1.0208,0.02175,0.0018938,0.0018938,0.0018938
22,4143.06,1.31212,1.00921,0.0197,0.79695,0.66209,0.75061,0.46085,1.44221,0.99762,0.02152,0.00170999,0.00170999,0.00170999
23,4318.84,1.27777,0.95572,0.01893,0.8007,0.66774,0.7577,0.46621,1.43995,0.98041,0.0212,0.00152618,0.00152618,0.00152618
24,4495.34,1.253,0.9105,0.01833,0.79835,0.66902,0.75889,0.47025,1.43423,0.96912,0.02111,0.00134237,0.00134237,0.00134237
25,4670.69,1.22195,0.8749,0.0177,0.79809,0.67294,0.76082,0.47493,1.4317,0.96348,0.02106,0.00115856,0.00115856,0.00115856
26,4846.08,1.19661,0.83927,0.01708,0.7714,0.69462,0.76264,0.47623,1.42862,0.96372,0.02101,0.00097475,0.00097475,0.00097475
27,5021.36,1.1696,0.80847,0.01661,0.78638,0.67861,0.76439,0.47723,1.42721,0.9612,0.02098,0.00079094,0.00079094,0.00079094
28,5197.92,1.14925,0.76902,0.01619,0.78791,0.68576,0.76577,0.47901,1.42829,0.95065,0.02099,0.00060713,0.00060713,0.00060713
29,5375.33,1.1226,0.74262,0.01576,0.79254,0.68112,0.76573,0.4805,1.43099,0.94581,0.02102,0.00042332,0.00042332,0.00042332
30,5565.99,1.10442,0.72834,0.01545,0.78719,0.68543,0.76538,0.48064,1.42986,0.945,0.021,0.00023951,0.00023951,0.00023951
