epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.632,1.44231,3.97895,0.01788,0.3557,0.23525,0.2186,0.11459,1.57034,2.56034,0.02439,0.00155571,0.00155571,0.0682429
2,390.939,1.41646,2.79677,0.01765,0.56261,0.33167,0.35583,0.18648,1.6155,2.11799,0.02657,0.00300967,0.00300967,0.0363635
3,571.537,1.41745,2.45615,0.01771,0.54187,0.41388,0.43765,0.23069,1.57502,1.93735,0.02537,0.00436088,0.00436088,0.00438142
4,747.556,1.42337,2.29284,0.01784,0.62691,0.45388,0.51176,0.27115,1.59153,1.70688,0.02583,0.00420767,0.00420767,0.00420767
5,926.558,1.40401,2.14459,0.01767,0.65566,0.46086,0.52764,0.27624,1.59631,1.69451,0.02533,0.00405356,0.00405356,0.00405356
6,1105.36,1.39969,2.02506,0.01735,0.67091,0.51594,0.57418,0.31081,1.57695,1.54824,0.02506,0.00389945,0.00389945,0.00389945
7,1298.94,1.39784,1.93299,0.01748,0.67948,0.54035,0.60576,0.33011,1.53515,1.45419,0.02413,0.00374534,0.00374534,0.00374534
8,1488.1,1.38529,1.86422,0.01731,0.6862,0.55636,0.61972,0.34679,1.53868,1.39022,0.02416,0.00359123,0.00359123,0.00359123
9,1677.64,1.38901,1.79102,0.01716,0.68835,0.5564,0.62326,0.34931,1.54592,1.36419,0.02408,0.00343712,0.00343712,0.00343712
10,1863.13,1.37103,1.7327,0.01696,0.71356,0.56705,0.64557,0.36549,1.51885,1.30871,0.02351,0.00328301,0.00328301,0.00328301
11,2048.28,1.36144,1.69027,0.01666,0.74471,0.58323,0.66598,0.38052,1.52024,1.2606,0.02357,0.0031289,0.0031289,0.0031289
12,2234.19,1.35705,1.62769,0.01656,0.74207,0.59352,0.67862,0.38832,1.50892,1.22857,0.02326,0.00297479,0.00297479,0.00297479
13,2420.42,1.34274,1.57228,0.01641,0.74948,0.60991,0.69012,0.3954,1.49805,1.21649,0.02285,0.00282068,0.00282068,0.00282068
14,2596.53,1.33392,1.52773,0.01621,0.73277,0.61925,0.69658,0.40567,1.48486,1.19806,0.0227,0.00266657,0.00266657,0.00266657
15,2769.38,1.32708,1.49671,0.01597,0.74874,0.62223,0.70137,0.41082,1.47906,1.17723,0.02271,0.00251246,0.00251246,0.00251246
16,2942.96,1.3163,1.45119,0.01581,0.75799,0.62322,0.7075,0.41836,1.4689,1.14045,0.02239,0.00235835,0.00235835,0.00235835
17,3116.57,1.30415,1.42524,0.01556,0.76257,0.62005,0.70895,0.42415,1.45645,1.14297,0.02217,0.00220424,0.00220424,0.00220424
18,3290.26,1.29886,1.3967,0.01551,0.75985,0.63295,0.71344,0.42471,1.46543,1.13378,0.02217,0.00205013,0.00205013,0.00205013
19,3463.51,1.28814,1.36821,0.01525,0.74792,0.6505,0.72026,0.4311,1.45977,1.11044,0.02207,0.00189602,0.00189602,0.00189602
20,3636.42,1.26781,1.31725,0.01512,0.75169,0.65224,0.7247,0.43561,1.45733,1.10399,0.02199,0.00174191,0.00174191,0.00174191
21,3826.31,1.32834,1.1511,0.02003,0.78405,0.64746,0.73241,0.44127,1.46133,1.07525,0.02189,0.0015878,0.0015878,0.0015878
22,3999.72,1.30637,1.09305,0.01949,0.77741,0.65085,0.7361,0.4471,1.45522,1.06111,0.02164,0.00143369,0.00143369,0.00143369
23,4171.87,1.28188,1.03943,0.01888,0.77082,0.65618,0.73945,0.45157,1.44919,1.05373,0.02151,0.00127958,0.00127958,0.00127958
24,4344.62,1.25385,1.00332,0.01831,0.76992,0.66558,0.74094,0.45318,1.44978,1.03495,0.02149,0.00112547,0.00112547,0.00112547
25,4519.14,1.23868,0.96669,0.01791,0.78079,0.66105,0.74362,0.45626,1.44517,1.03041,0.02143,0.00097136,0.00097136,0.00097136
26,4694.02,1.21443,0.94356,0.01737,0.78262,0.66909,0.74626,0.45867,1.43974,1.02843,0.0213,0.00081725,0.00081725,0.00081725
27,4868.99,1.19838,0.91401,0.01707,0.78073,0.66694,0.74792,0.46193,1.43609,1.02375,0.02126,0.00066314,0.00066314,0.00066314
28,5042.33,1.1771,0.89285,0.0166,0.78234,0.665,0.74804,0.46271,1.4355,1.02501,0.02122,0.00050903,0.00050903,0.00050903
29,5215.24,1.16231,0.86644,0.01648,0.78237,0.66709,0.74736,0.4621,1.43031,1.03063,0.02111,0.00035492,0.00035492,0.00035492
30,5388.49,1.15204,0.85135,0.01619,0.77864,0.66736,0.74586,0.46267,1.43068,1.0295,0.0211,0.00020081,0.00020081,0.00020081
