epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.6,1.42331,3.7983,0.01888,0.40941,0.2823,0.27495,0.14012,1.61021,2.38157,0.02518,0.00293153,0.00293153,0.0696187
2,392.737,1.42283,2.65798,0.01909,0.60034,0.38979,0.42783,0.21041,1.64241,1.98639,0.02716,0.00567132,0.00567132,0.0390252
3,573.413,1.45134,2.38422,0.01956,0.56411,0.42888,0.45505,0.23298,1.62699,1.84713,0.02673,0.00821751,0.00821751,0.00823805
4,751.004,1.46907,2.23037,0.0199,0.66156,0.48385,0.55203,0.28638,1.6215,1.60601,0.0261,0.0079288,0.0079288,0.0079288
5,929.225,1.44941,2.08246,0.01954,0.65229,0.4901,0.55892,0.29052,1.63484,1.62962,0.02599,0.0076384,0.0076384,0.0076384
6,1107.2,1.43766,1.96559,0.01911,0.66735,0.52104,0.58859,0.31596,1.59783,1.50514,0.02602,0.007348,0.007348,0.007348
7,1285.94,1.42854,1.87264,0.01904,0.69825,0.55507,0.62447,0.33917,1.58292,1.4008,0.02491,0.0070576,0.0070576,0.0070576
8,1462.1,1.41546,1.79692,0.01887,0.71621,0.56301,0.6449,0.35798,1.54002,1.34342,0.0245,0.0067672,0.0067672,0.0067672
9,1640.34,1.41022,1.71644,0.01864,0.71588,0.58294,0.65868,0.36667,1.56264,1.30509,0.02476,0.0064768,0.0064768,0.0064768
10,1818.84,1.39307,1.6616,0.01838,0.73082,0.5921,0.67471,0.38456,1.53127,1.26282,0.02383,0.0061864,0.0061864,0.0061864
11,1996.22,1.37757,1.61419,0.01794,0.73754,0.59775,0.67621,0.39265,1.52295,1.25222,0.02377,0.005896,0.005896,0.005896
12,2173.3,1.37035,1.56121,0.01779,0.7561,0.59996,0.69504,0.40239,1.48847,1.22295,0.02277,0.0056056,0.0056056,0.0056056
13,2350.05,1.34949,1.5103,0.01749,0.73155,0.61757,0.69959,0.40804,1.49835,1.17894,0.02264,0.0053152,0.0053152,0.0053152
14,2527.74,1.337,1.45465,0.01722,0.76373,0.61018,0.70843,0.42029,1.48564,1.14594,0.02238,0.0050248,0.0050248,0.0050248
15,2704.54,1.3274,1.41736,0.01702,0.75373,0.6344,0.71298,0.424,1.48389,1.1318,0.0225,0.0047344,0.0047344,0.0047344
16,2881.67,1.31374,1.38078,0.01674,0.75952,0.65407,0.72813,0.43896,1.46462,1.09449,0.02183,0.004444,0.004444,0.004444
17,3057.92,1.30521,1.34878,0.01648,0.77342,0.6465,0.73264,0.44049,1.45065,1.09197,0.02181,0.0041536,0.0041536,0.0041536
18,3235.62,1.28491,1.30811,0.01618,0.7829,0.64243,0.73385,0.44343,1.45629,1.07113,0.02181,0.0038632,0.0038632,0.0038632
19,3413.15,1.28113,1.28597,0.01595,0.77015,0.66297,0.74256,0.44979,1.44721,1.05576,0.02151,0.0035728,0.0035728,0.0035728
20,3591.37,1.25731,1.23117,0.01577,0.78722,0.65881,0.74365,0.45265,1.44966,1.04497,0.02153,0.0032824,0.0032824,0.0032824
21,3780.18,1.31159,1.02124,0.01979,0.79871,0.65563,0.75045,0.46061,1.43573,1.02253,0.02123,0.002992,0.002992,0.002992
22,3952.62,1.28422,0.97044,0.0192,0.81609,0.65418,0.75424,0.46554,1.42961,1.02013,0.0211,0.0027016,0.0027016,0.0027016
23,4125.42,1.24941,0.91781,0.01848,0.79751,0.66465,0.75556,0.46784,1.42995,1.00541,0.02102,0.0024112,0.0024112,0.0024112
24,4298.34,1.22628,0.89157,0.01794,0.79726,0.66799,0.75962,0.47345,1.42477,0.99331,0.02092,0.0021208,0.0021208,0.0021208
25,4471.52,1.20419,0.84499,0.01737,0.79436,0.67532,0.76391,0.47754,1.42208,0.97933,0.02083,0.0018304,0.0018304,0.0018304
26,4644.16,1.18201,0.81104,0.01689,0.80021,0.67521,0.76625,0.48128,1.42313,0.96594,0.02084,0.00154,0.00154,0.00154
27,4817.69,1.15925,0.79847,0.01647,0.79211,0.68115,0.76471,0.48113,1.41987,0.96855,0.02077,0.0012496,0.0012496,0.0012496
28,4993.21,1.13181,0.7813,0.01599,0.78761,0.68171,0.7638,0.48135,1.41837,0.96476,0.02076,0.0009592,0.0009592,0.0009592
29,5168.15,1.11628,0.74885,0.01578,0.78804,0.68218,0.76542,0.48155,1.4166,0.96724,0.02075,0.0006688,0.0006688,0.0006688
30,5342.65,1.10078,0.73395,0.01551,0.7911,0.68118,0.76479,0.48167,1.41657,0.96577,0.02073,0.0003784,0.0003784,0.0003784
