epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.385,1.39828,3.97004,0.01881,0.38595,0.27743,0.26298,0.14137,1.53431,2.42385,0.02352,0.00195546,0.00195546,0.0686427
2,389.905,1.36711,2.79288,0.01837,0.50803,0.37165,0.37751,0.19724,1.5406,2.07933,0.02445,0.00378303,0.00378303,0.0371369
3,569.745,1.36644,2.46368,0.01843,0.58479,0.39867,0.44206,0.24245,1.53701,1.90027,0.02489,0.00548145,0.00548145,0.00550199
4,747.959,1.35881,2.28637,0.01831,0.64664,0.45767,0.51911,0.28446,1.51669,1.70517,0.02401,0.00528887,0.00528887,0.00528887
5,926.126,1.3467,2.14293,0.01824,0.64451,0.46719,0.53888,0.29019,1.55353,1.67124,0.02433,0.00509516,0.00509516,0.00509516
6,1109.58,1.34082,2.03126,0.01797,0.66007,0.5143,0.57673,0.31718,1.54713,1.54305,0.02439,0.00490145,0.00490145,0.00490145
7,1299.63,1.33886,1.94498,0.01804,0.67782,0.54385,0.61041,0.33466,1.52626,1.48016,0.02382,0.00470774,0.00470774,0.00470774
8,1485.59,1.32712,1.86531,0.01788,0.70665,0.56021,0.63579,0.35591,1.51661,1.39388,0.02359,0.00451403,0.00451403,0.00451403
9,1680.59,1.32253,1.78865,0.01767,0.7268,0.57287,0.64661,0.36231,1.51413,1.35655,0.02362,0.00432032,0.00432032,0.00432032
10,1869.58,1.31403,1.73504,0.0175,0.7231,0.57933,0.66041,0.37526,1.50202,1.32702,0.02334,0.00412661,0.00412661,0.00412661
11,2061.04,1.30965,1.68308,0.01726,0.73995,0.58423,0.66519,0.3839,1.48046,1.3087,0.02262,0.0039329,0.0039329,0.0039329
12,2255,1.3084,1.6299,0.01719,0.72876,0.61829,0.68038,0.39423,1.48117,1.25895,0.02259,0.00373919,0.00373919,0.00373919
13,2441.44,1.2929,1.58264,0.01699,0.73098,0.61528,0.68582,0.40003,1.48214,1.23148,0.02235,0.00354548,0.00354548,0.00354548
14,2630.08,1.27963,1.53888,0.01669,0.76449,0.60195,0.69166,0.4072,1.46624,1.22368,0.02216,0.00335177,0.00335177,0.00335177
15,2817.38,1.2738,1.50771,0.01657,0.76353,0.62211,0.69992,0.41435,1.46904,1.19234,0.0223,0.00315806,0.00315806,0.00315806
16,3007.12,1.26403,1.46963,0.01637,0.76054,0.62297,0.7062,0.41867,1.4578,1.165,0.02208,0.00296435,0.00296435,0.00296435
17,3194.68,1.26095,1.43822,0.01629,0.7807,0.6238,0.7182,0.4262,1.45152,1.14455,0.02186,0.00277064,0.00277064,0.00277064
18,3379.37,1.25213,1.40064,0.01611,0.77721,0.63205,0.7234,0.4347,1.45,1.12239,0.02174,0.00257693,0.00257693,0.00257693
19,3561.95,1.25153,1.38882,0.01597,0.77539,0.64052,0.72343,0.43567,1.44891,1.11091,0.02167,0.00238322,0.00238322,0.00238322
20,3745.14,1.22419,1.34089,0.01569,0.77465,0.63826,0.72925,0.43863,1.44049,1.10714,0.02153,0.00218951,0.00218951,0.00218951
21,3949.55,1.29325,1.11855,0.01979,0.77791,0.63949,0.73023,0.44198,1.42986,1.09474,0.02118,0.0019958,0.0019958,0.0019958
22,4135.5,1.268,1.06596,0.01921,0.78396,0.6377,0.7302,0.44976,1.42229,1.08465,0.02099,0.00180209,0.00180209,0.00180209
23,4328.08,1.24777,1.02324,0.0187,0.7663,0.65427,0.73414,0.45343,1.42386,1.07585,0.02097,0.00160838,0.00160838,0.00160838
24,4516.36,1.23573,0.99254,0.01838,0.77266,0.65576,0.73784,0.45575,1.42239,1.06814,0.02093,0.00141467,0.00141467,0.00141467
25,4707.27,1.21544,0.9645,0.018,0.78476,0.65602,0.74194,0.45861,1.41919,1.06287,0.02087,0.00122096,0.00122096,0.00122096
26,4895.18,1.19659,0.94231,0.01757,0.7889,0.65935,0.74307,0.46003,1.41988,1.05379,0.02087,0.00102725,0.00102725,0.00102725
27,5083.98,1.18648,0.9342,0.01741,0.7835,0.65964,0.74351,0.46052,1.41723,1.05344,0.02084,0.00083354,0.00083354,0.00083354
28,5274.83,1.16961,0.90898,0.01703,0.79197,0.65128,0.74432,0.46156,1.4175,1.04925,0.02084,0.00063983,0.00063983,0.00063983
29,5466.84,1.16167,0.88539,0.01695,0.79843,0.64807,0.74493,0.46246,1.4153,1.05018,0.02083,0.00044612,0.00044612,0.00044612
