epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.876,1.45451,3.66151,0.01867,0.45976,0.31273,0.30267,0.15368,1.62382,2.29008,0.02633,0.0041108,0.0041108,0.070798
2,417.95,1.50025,2.62365,0.01963,0.53963,0.36283,0.38076,0.18015,1.76858,2.1396,0.03005,0.00795274,0.00795274,0.0413066
3,610.818,1.62704,2.50508,0.02177,0.52241,0.36925,0.3787,0.17579,1.83131,2.11023,0.03141,0.0115232,0.0115232,0.0115437
4,796.585,1.68827,2.48721,0.02269,0.5783,0.41296,0.44237,0.21045,1.7543,1.97108,0.02924,0.0111183,0.0111183,0.0111183
5,975.052,1.65371,2.35638,0.02217,0.57415,0.44016,0.47305,0.23064,1.77152,1.85997,0.02921,0.0107111,0.0107111,0.0107111
6,1167.45,1.64189,2.24048,0.02177,0.61536,0.47148,0.51922,0.25294,1.70914,1.80759,0.02839,0.0103039,0.0103039,0.0103039
7,1362.42,1.61372,2.17413,0.02152,0.61611,0.48319,0.53918,0.27016,1.68047,1.70921,0.02801,0.00989668,0.00989668,0.00989668
8,1557.45,1.60402,2.10739,0.02137,0.64933,0.514,0.56836,0.29529,1.67681,1.54315,0.02709,0.00948946,0.00948946,0.00948946
9,1745.23,1.59996,2.04467,0.02108,0.67116,0.52913,0.58411,0.30401,1.66035,1.50131,0.02707,0.00908224,0.00908224,0.00908224
10,1923.66,1.58009,2.00028,0.02093,0.67166,0.52161,0.59859,0.31802,1.64627,1.45651,0.0261,0.00867502,0.00867502,0.00867502
11,2096.97,1.57167,1.96095,0.0206,0.65635,0.54384,0.59937,0.32648,1.59194,1.43313,0.02544,0.0082678,0.0082678,0.0082678
12,2270.81,1.5602,1.92748,0.0204,0.6704,0.55622,0.6134,0.33229,1.59207,1.39066,0.02551,0.00786058,0.00786058,0.00786058
13,2444.45,1.54806,1.87067,0.02028,0.71271,0.55245,0.63275,0.3458,1.56434,1.37779,0.02469,0.00745336,0.00745336,0.00745336
14,2617.04,1.53578,1.82908,0.02006,0.70731,0.57712,0.64626,0.35664,1.55401,1.32916,0.02449,0.00704614,0.00704614,0.00704614
15,2789.98,1.52705,1.78458,0.01977,0.70321,0.58613,0.6535,0.36706,1.54421,1.31532,0.02425,0.00663892,0.00663892,0.00663892
16,2963.49,1.50565,1.75036,0.01935,0.71272,0.58563,0.65687,0.36813,1.54485,1.28806,0.02437,0.0062317,0.0062317,0.0062317
17,3136.84,1.49794,1.71159,0.01928,0.73871,0.58763,0.66583,0.37897,1.51836,1.26085,0.02358,0.00582448,0.00582448,0.00582448
18,3309.12,1.47647,1.67318,0.01902,0.75277,0.59602,0.6811,0.38994,1.51874,1.22896,0.02344,0.00541726,0.00541726,0.00541726
19,3483.01,1.47198,1.63731,0.01877,0.73855,0.60307,0.6849,0.39474,1.5148,1.19566,0.0235,0.00501004,0.00501004,0.00501004
20,3659.83,1.44675,1.58123,0.0185,0.76087,0.6124,0.69683,0.40494,1.49381,1.18281,0.02302,0.00460282,0.00460282,0.00460282
21,3851.52,1.54117,1.41958,0.0248,0.76424,0.61283,0.70224,0.40888,1.48642,1.17568,0.02301,0.0041956,0.0041956,0.0041956
22,4026.26,1.52149,1.34111,0.02421,0.76934,0.62247,0.70949,0.41437,1.49016,1.15443,0.0229,0.00378838,0.00378838,0.00378838
23,4201.35,1.48332,1.25501,0.02323,0.76886,0.625,0.71528,0.42113,1.4862,1.13477,0.02278,0.00338116,0.00338116,0.00338116
24,4376.36,1.45097,1.1919,0.02257,0.76379,0.62725,0.71828,0.42433,1.48601,1.1157,0.0226,0.00297394,0.00297394,0.00297394
25,4551.01,1.4156,1.11338,0.02165,0.77847,0.62953,0.72518,0.43138,1.47527,1.10957,0.02239,0.00256672,0.00256672,0.00256672
26,4726.17,1.37296,1.05769,0.02072,0.78845,0.63307,0.72989,0.43709,1.47569,1.08768,0.0224,0.0021595,0.0021595,0.0021595
27,4902.13,1.33536,0.9829,0.01979,0.78809,0.63458,0.734,0.44146,1.47398,1.07421,0.02225,0.00175228,0.00175228,0.00175228
28,5077.88,1.29098,0.93599,0.0189,0.78316,0.64584,0.73713,0.44516,1.47301,1.06049,0.02216,0.00134506,0.00134506,0.00134506
29,5253.61,1.24511,0.88702,0.01805,0.78463,0.6481,0.74102,0.44895,1.47219,1.0454,0.0221,0.00093784,0.00093784,0.00093784
30,5428.45,1.20962,0.854,0.0173,0.78536,0.65471,0.74398,0.45153,1.46932,1.04379,0.02204,0.00053062,0.00053062,0.00053062
