epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.932,1.42207,4.09274,0.01852,0.33369,0.22526,0.20031,0.10636,1.57216,2.59079,0.02432,0.00121592,0.00121592,0.0679031
2,387.746,1.38645,2.94347,0.01801,0.49297,0.31419,0.32766,0.17302,1.55223,2.20029,0.02507,0.00235231,0.00235231,0.0357062
3,569.082,1.3639,2.58402,0.01775,0.52939,0.38649,0.41173,0.22003,1.51744,1.98142,0.02429,0.0034084,0.0034084,0.00342894
4,742.238,1.3507,2.41359,0.01753,0.59246,0.43306,0.47693,0.25576,1.50574,1.83123,0.02439,0.00328865,0.00328865,0.00328865
5,916.005,1.33593,2.27478,0.01741,0.61513,0.45416,0.50186,0.26872,1.54385,1.77252,0.02447,0.0031682,0.0031682,0.0031682
6,1090.03,1.3284,2.17202,0.01713,0.65197,0.47953,0.54218,0.29547,1.52365,1.64736,0.02432,0.00304775,0.00304775,0.00304775
7,1263.63,1.32313,2.09543,0.01722,0.65442,0.49512,0.56414,0.31457,1.48224,1.60243,0.02302,0.0029273,0.0029273,0.0029273
8,1438.37,1.31191,2.02944,0.01703,0.67697,0.51569,0.58802,0.3307,1.49607,1.50275,0.02346,0.00280685,0.00280685,0.00280685
9,1616.28,1.31591,1.94872,0.017,0.67775,0.51903,0.59223,0.33017,1.50655,1.50712,0.0237,0.0026864,0.0026864,0.0026864
10,1795.08,1.3046,1.89432,0.01691,0.68132,0.53018,0.60561,0.34228,1.49051,1.45608,0.02344,0.00256595,0.00256595,0.00256595
11,1973.37,1.3001,1.849,0.01666,0.70083,0.54187,0.62605,0.35386,1.48484,1.4167,0.02313,0.0024455,0.0024455,0.0024455
12,2151.63,1.29973,1.79987,0.01666,0.72531,0.5487,0.64082,0.36263,1.48405,1.39557,0.02303,0.00232505,0.00232505,0.00232505
13,2330.13,1.29381,1.74868,0.01657,0.72866,0.56384,0.64688,0.36791,1.47604,1.35628,0.02268,0.0022046,0.0022046,0.0022046
14,2507.13,1.28654,1.7089,0.01639,0.69807,0.58448,0.64866,0.37103,1.48453,1.34461,0.02302,0.00208415,0.00208415,0.00208415
15,2684.46,1.28439,1.68059,0.01632,0.73131,0.57363,0.66137,0.38102,1.47629,1.31415,0.02283,0.0019637,0.0019637,0.0019637
16,2861.9,1.27965,1.64081,0.01623,0.74574,0.57829,0.66617,0.38529,1.47151,1.28595,0.02256,0.00184325,0.00184325,0.00184325
17,3040.24,1.27754,1.61984,0.01611,0.7314,0.58612,0.6672,0.3891,1.46259,1.26799,0.02242,0.0017228,0.0017228,0.0017228
18,3213.43,1.26527,1.5976,0.01598,0.74546,0.58712,0.67788,0.39433,1.46818,1.26001,0.02227,0.00160235,0.00160235,0.00160235
19,3387.37,1.2682,1.58134,0.01592,0.74579,0.58651,0.68134,0.39692,1.46224,1.23932,0.02222,0.0014819,0.0014819,0.0014819
20,3561.6,1.25338,1.53323,0.01586,0.72513,0.60706,0.68398,0.39778,1.46664,1.22778,0.02225,0.00136145,0.00136145,0.00136145
21,3750.86,1.34201,1.35207,0.02085,0.73335,0.60426,0.68583,0.40282,1.4639,1.2133,0.02234,0.001241,0.001241,0.001241
22,3926.22,1.32259,1.29565,0.02046,0.75205,0.59939,0.69188,0.40695,1.46541,1.20199,0.02241,0.00112055,0.00112055,0.00112055
23,4102.27,1.30785,1.25277,0.01997,0.76224,0.60463,0.69528,0.41038,1.46075,1.19785,0.02224,0.0010001,0.0010001,0.0010001
24,4275.41,1.30134,1.22752,0.01985,0.76315,0.60481,0.69929,0.41448,1.45673,1.19062,0.02218,0.00087965,0.00087965,0.00087965
25,4449.36,1.29002,1.20333,0.01962,0.76793,0.59846,0.70089,0.41577,1.45638,1.18343,0.0221,0.0007592,0.0007592,0.0007592
26,4622.87,1.27682,1.19025,0.0192,0.77476,0.59808,0.70228,0.41741,1.45338,1.17921,0.02196,0.00063875,0.00063875,0.00063875
27,4796.39,1.26984,1.17785,0.01911,0.76644,0.60244,0.70404,0.41915,1.45215,1.17607,0.02192,0.0005183,0.0005183,0.0005183
28,4971.78,1.26395,1.15816,0.01901,0.77052,0.60297,0.70393,0.41906,1.45256,1.17348,0.02192,0.00039785,0.00039785,0.00039785
29,5146.1,1.25792,1.13724,0.01894,0.76304,0.60424,0.70415,0.42005,1.45322,1.17152,0.02195,0.0002774,0.0002774,0.0002774
30,5319.42,1.24906,1.14153,0.01873,0.76527,0.60422,0.70438,0.41998,1.45417,1.17022,0.02196,0.00015695,0.00015695,0.00015695
