epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.29,1.44249,3.8121,0.01852,0.43689,0.29633,0.28336,0.14484,1.58609,2.32595,0.02534,0.00222529,0.00222529,0.0689125
2,387.867,1.46546,2.66946,0.01905,0.53844,0.34249,0.35984,0.18007,1.68646,2.183,0.02782,0.00430505,0.00430505,0.0376589
3,561.428,1.66144,2.65259,0.02247,0.25956,0.24652,0.16503,0.06049,2.10744,2.88854,0.03763,0.00623784,0.00623784,0.00625838
4,735.228,1.91255,3.04357,0.02669,0.44068,0.29471,0.25986,0.10537,1.92388,2.58118,0.03284,0.00601868,0.00601868,0.00601868
5,908.4,1.85484,2.93226,0.02574,0.50347,0.28798,0.29358,0.12926,1.92816,2.4361,0.03295,0.00579824,0.00579824,0.00579824
6,1081.53,1.84292,2.86466,0.02531,0.46561,0.3097,0.29511,0.12412,1.96533,2.35354,0.03359,0.0055778,0.0055778,0.0055778
7,1255.4,1.82522,2.80385,0.0253,0.49107,0.32987,0.32958,0.14262,1.90942,2.28019,0.03307,0.00535736,0.00535736,0.00535736
8,1429.5,1.81585,2.78684,0.02513,0.48058,0.33256,0.33214,0.14958,1.84791,2.27789,0.03119,0.00513692,0.00513692,0.00513692
9,1604.14,1.8089,2.72883,0.02492,0.50959,0.36599,0.36951,0.16702,1.85322,2.186,0.03107,0.00491648,0.00491648,0.00491648
10,1778.04,1.80264,2.71139,0.02495,0.54698,0.37854,0.38498,0.17913,1.78553,2.15695,0.02989,0.00469604,0.00469604,0.00469604
11,1951.89,1.78245,2.67475,0.02447,0.55421,0.40824,0.42506,0.2064,1.75782,2.00586,0.02927,0.0044756,0.0044756,0.0044756
12,2126.48,1.79236,2.64827,0.02466,0.5503,0.40749,0.4206,0.19815,1.76786,2.01756,0.029,0.00425516,0.00425516,0.00425516
13,2301.26,1.771,2.60374,0.02428,0.57118,0.39806,0.43603,0.21566,1.7173,1.95976,0.028,0.00403472,0.00403472,0.00403472
14,2475.11,1.76252,2.56021,0.02417,0.56001,0.42434,0.45281,0.22946,1.70767,1.91901,0.02815,0.00381428,0.00381428,0.00381428
15,2648.44,1.75425,2.54281,0.024,0.62552,0.42059,0.47384,0.24125,1.68642,1.84937,0.02776,0.00359384,0.00359384,0.00359384
16,2822.32,1.73769,2.50339,0.02356,0.6174,0.44242,0.48435,0.25007,1.6719,1.80574,0.02745,0.0033734,0.0033734,0.0033734
17,2995.94,1.7237,2.48429,0.02336,0.6246,0.44566,0.49359,0.25769,1.65085,1.79308,0.02729,0.00315296,0.00315296,0.00315296
18,3169.2,1.71721,2.44428,0.02345,0.63798,0.45256,0.50578,0.26328,1.65238,1.74754,0.02679,0.00293252,0.00293252,0.00293252
19,3342.61,1.70927,2.4247,0.02314,0.64572,0.4526,0.50937,0.2698,1.61844,1.73251,0.02638,0.00271208,0.00271208,0.00271208
20,3518.25,1.67784,2.37684,0.02277,0.65932,0.45755,0.51521,0.27286,1.62559,1.72008,0.0268,0.00249164,0.00249164,0.00249164
21,3712.28,1.83396,2.34992,0.03168,0.62755,0.46385,0.51239,0.27453,1.59693,1.71845,0.02575,0.0022712,0.0022712,0.0022712
22,3885.93,1.82954,2.28727,0.03166,0.63262,0.4642,0.51191,0.27674,1.60904,1.70083,0.02609,0.00205076,0.00205076,0.00205076
23,4059.47,1.80629,2.16203,0.03091,0.6366,0.47329,0.52859,0.28622,1.6005,1.66721,0.0258,0.00183032,0.00183032,0.00183032
24,4232.82,1.7689,2.0841,0.03016,0.6404,0.48351,0.54215,0.29318,1.58939,1.62725,0.02558,0.00160988,0.00160988,0.00160988
25,4406.38,1.74926,2.00759,0.0297,0.6534,0.48463,0.551,0.2981,1.57103,1.61814,0.02537,0.00138944,0.00138944,0.00138944
26,4580.42,1.71517,1.91763,0.0288,0.64891,0.49449,0.55526,0.30184,1.56877,1.60477,0.02528,0.001169,0.001169,0.001169
27,4753.82,1.6758,1.79492,0.02785,0.65721,0.49197,0.55912,0.30493,1.56396,1.59883,0.02528,0.00094856,0.00094856,0.00094856
28,4927.1,1.62862,1.68159,0.02666,0.67073,0.49008,0.56337,0.30714,1.56013,1.60036,0.02529,0.00072812,0.00072812,0.00072812
29,5100.7,1.56649,1.54072,0.02545,0.6824,0.48548,0.55892,0.30567,1.56155,1.62248,0.02536,0.00050768,0.00050768,0.00050768
30,5274.42,1.50897,1.43237,0.02402,0.68647,0.47817,0.55709,0.30431,1.57029,1.64088,0.02558,0.00028724,0.00028724,0.00028724
