epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.699,1.41463,3.80985,0.01914,0.47866,0.26705,0.26307,0.13406,1.60074,2.44959,0.02574,0.0024918,0.0024918,0.069179
2,385.005,1.4452,2.6806,0.01977,0.55999,0.39125,0.41722,0.20011,1.70477,1.99765,0.02811,0.00482062,0.00482062,0.0381745
3,565.104,1.61693,2.60213,0.02281,0.40008,0.27318,0.26038,0.10658,2.03757,2.65905,0.03618,0.00698489,0.00698489,0.00700542
4,745.047,1.805,2.81529,0.02614,0.55558,0.37298,0.3884,0.17344,1.89319,2.11944,0.03162,0.00673948,0.00673948,0.00673948
5,918.477,1.71884,2.5568,0.02462,0.57061,0.40395,0.43928,0.20415,1.85518,1.95685,0.03121,0.00649264,0.00649264,0.00649264
6,1092.68,1.66497,2.36352,0.02344,0.59122,0.44835,0.47685,0.22981,1.76284,1.8766,0.0305,0.0062458,0.0062458,0.0062458
7,1267.06,1.63133,2.24075,0.02284,0.65393,0.45197,0.52268,0.27053,1.68989,1.68923,0.02774,0.00599896,0.00599896,0.00599896
8,1443.43,1.59307,2.16642,0.02226,0.64453,0.49916,0.55473,0.28282,1.67155,1.60698,0.02681,0.00575212,0.00575212,0.00575212
9,1620.94,1.58381,2.08386,0.02193,0.66002,0.52357,0.57408,0.29503,1.68225,1.54934,0.02719,0.00550528,0.00550528,0.00550528
10,1796.21,1.55368,2.01628,0.02152,0.7142,0.5185,0.59384,0.31353,1.64261,1.48629,0.02645,0.00525844,0.00525844,0.00525844
11,1971.85,1.54441,1.96276,0.02117,0.68884,0.53032,0.59839,0.32528,1.5996,1.47186,0.0255,0.0050116,0.0050116,0.0050116
12,2150.07,1.53196,1.90682,0.02094,0.67032,0.56644,0.61897,0.34154,1.58378,1.3824,0.02494,0.00476476,0.00476476,0.00476476
13,2328.4,1.50459,1.85651,0.02052,0.69523,0.56459,0.63071,0.34974,1.55702,1.37684,0.02445,0.00451792,0.00451792,0.00451792
14,2505.46,1.49375,1.79705,0.02027,0.71731,0.57014,0.63817,0.35672,1.54593,1.34432,0.02424,0.00427108,0.00427108,0.00427108
15,2683.06,1.47426,1.7501,0.01985,0.70904,0.59034,0.65533,0.36902,1.54519,1.3146,0.02412,0.00402424,0.00402424,0.00402424
16,2859.36,1.45941,1.70288,0.0196,0.72781,0.60106,0.66878,0.37893,1.52256,1.26682,0.02356,0.0037774,0.0037774,0.0037774
17,3035.19,1.45084,1.65611,0.01937,0.71404,0.59764,0.66904,0.38247,1.53908,1.25165,0.02383,0.00353056,0.00353056,0.00353056
18,3213,1.43616,1.60137,0.01907,0.74816,0.61251,0.68904,0.39496,1.50969,1.21825,0.02327,0.00328372,0.00328372,0.00328372
19,3390.02,1.42338,1.57888,0.0188,0.76104,0.60432,0.69532,0.40232,1.50311,1.20282,0.02324,0.00303688,0.00303688,0.00303688
20,3568.05,1.39928,1.51961,0.01852,0.76677,0.60763,0.69967,0.4068,1.50154,1.18853,0.02295,0.00279004,0.00279004,0.00279004
21,3756.3,1.48586,1.27149,0.02371,0.7673,0.61049,0.70651,0.41736,1.4706,1.16473,0.02243,0.0025432,0.0025432,0.0025432
22,3928.67,1.45734,1.20245,0.02298,0.7536,0.634,0.71496,0.4253,1.47403,1.14241,0.02239,0.00229636,0.00229636,0.00229636
23,4100.77,1.42196,1.13261,0.02207,0.75961,0.63426,0.71684,0.42947,1.46203,1.14039,0.02219,0.00204952,0.00204952,0.00204952
24,4273.38,1.38737,1.09418,0.02129,0.78787,0.61923,0.72389,0.43552,1.46189,1.12272,0.02223,0.00180268,0.00180268,0.00180268
25,4445.78,1.35872,1.03988,0.02062,0.77638,0.62854,0.7259,0.43814,1.45692,1.11635,0.02209,0.00155584,0.00155584,0.00155584
26,4618.14,1.33007,0.99481,0.01995,0.77866,0.6343,0.72912,0.44176,1.45667,1.09908,0.02197,0.001309,0.001309,0.001309
27,4789.95,1.30003,0.95475,0.01936,0.78931,0.63735,0.73404,0.44609,1.45212,1.08612,0.02178,0.00106216,0.00106216,0.00106216
28,4962.46,1.26678,0.92406,0.0187,0.77571,0.6452,0.73523,0.44811,1.451,1.07791,0.02173,0.00081532,0.00081532,0.00081532
29,5134.18,1.23538,0.89387,0.01819,0.76895,0.65108,0.73651,0.45001,1.44892,1.07664,0.0217,0.00056848,0.00056848,0.00056848
30,5306.4,1.21844,0.88026,0.01784,0.77185,0.65554,0.73854,0.45167,1.45031,1.06991,0.02174,0.00032164,0.00032164,0.00032164
