epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.645,1.44051,3.69981,0.01942,0.48656,0.2815,0.28873,0.1517,1.60552,2.4398,0.02527,0.00446391,0.00446391,0.0711511
2,389.497,1.47873,2.63588,0.02023,0.57978,0.35149,0.38895,0.19641,1.70774,2.10054,0.02816,0.00863587,0.00863587,0.0419897
3,566.255,1.56057,2.50435,0.02166,0.55032,0.40239,0.42167,0.19938,1.83385,1.97506,0.03135,0.012513,0.012513,0.0125336
4,744.537,1.6235,2.41458,0.02271,0.58691,0.42836,0.47831,0.24075,1.73469,1.7917,0.02826,0.0120734,0.0120734,0.0120734
5,923.175,1.61415,2.32548,0.02262,0.61777,0.43577,0.49403,0.24563,1.74299,1.79907,0.02884,0.0116312,0.0116312,0.0116312
6,1101.11,1.60931,2.2538,0.02233,0.59593,0.46844,0.51193,0.26365,1.67141,1.72117,0.02765,0.011189,0.011189,0.011189
7,1279.8,1.60702,2.20735,0.02253,0.63163,0.47395,0.53766,0.27588,1.68175,1.65653,0.02765,0.0107468,0.0107468,0.0107468
8,1460.11,1.59402,2.16429,0.02233,0.64901,0.5138,0.57015,0.29338,1.67107,1.5772,0.02723,0.0103046,0.0103046,0.0103046
9,1639.77,1.59462,2.12275,0.02213,0.65364,0.51894,0.57447,0.30019,1.63568,1.55356,0.02633,0.0098624,0.0098624,0.0098624
10,1819.06,1.58341,2.08461,0.02202,0.67613,0.51884,0.59094,0.30652,1.63598,1.51315,0.02636,0.0094202,0.0094202,0.0094202
11,2011.87,1.57,2.05744,0.02164,0.68144,0.53088,0.59844,0.32103,1.61752,1.46624,0.02602,0.008978,0.008978,0.008978
12,2197.04,1.57046,2.01611,0.02178,0.69526,0.54239,0.61466,0.33205,1.59456,1.41121,0.02549,0.0085358,0.0085358,0.0085358
13,2381.68,1.55086,1.96881,0.02138,0.70162,0.54926,0.62188,0.34083,1.57932,1.39959,0.02491,0.0080936,0.0080936,0.0080936
14,2566.21,1.53988,1.92718,0.02118,0.69284,0.56777,0.63616,0.35109,1.56313,1.36512,0.02483,0.0076514,0.0076514,0.0076514
15,2751.07,1.53065,1.90364,0.02096,0.71062,0.56878,0.64482,0.35513,1.56044,1.33993,0.02466,0.0072092,0.0072092,0.0072092
16,2928.94,1.52328,1.85219,0.02074,0.74165,0.5762,0.66398,0.37005,1.55083,1.29235,0.02403,0.006767,0.006767,0.006767
17,3102.57,1.50926,1.82089,0.02049,0.72906,0.57608,0.65423,0.37097,1.52672,1.30464,0.02397,0.0063248,0.0063248,0.0063248
18,3276.12,1.49233,1.78604,0.02023,0.71862,0.60639,0.67056,0.37771,1.53364,1.25357,0.02413,0.0058826,0.0058826,0.0058826
19,3450.25,1.48702,1.75137,0.01999,0.74431,0.60242,0.68206,0.38687,1.52049,1.2364,0.02373,0.0054404,0.0054404,0.0054404
20,3623.77,1.45975,1.6857,0.01971,0.74306,0.60405,0.688,0.39341,1.51059,1.22046,0.02345,0.0049982,0.0049982,0.0049982
21,3813.19,1.5886,1.49606,0.02651,0.76875,0.604,0.69804,0.40387,1.50113,1.18849,0.02326,0.004556,0.004556,0.004556
22,3987.22,1.55774,1.41534,0.02558,0.77786,0.61558,0.7073,0.41067,1.50218,1.1764,0.02315,0.0041138,0.0041138,0.0041138
23,4162.09,1.51734,1.32891,0.02463,0.77479,0.6235,0.71193,0.41876,1.49764,1.16291,0.02294,0.0036716,0.0036716,0.0036716
24,4337.11,1.49062,1.26546,0.0238,0.77534,0.6226,0.71543,0.42395,1.48838,1.14098,0.02277,0.0032294,0.0032294,0.0032294
25,4512.17,1.44469,1.17676,0.02269,0.77642,0.62306,0.72267,0.43082,1.48118,1.12167,0.02259,0.0027872,0.0027872,0.0027872
26,4686.71,1.40104,1.11567,0.02164,0.77744,0.6384,0.72787,0.43869,1.47168,1.1035,0.02227,0.002345,0.002345,0.002345
27,4860.94,1.3565,1.03458,0.02063,0.78443,0.63625,0.73188,0.44324,1.46548,1.08998,0.0221,0.0019028,0.0019028,0.0019028
28,5035.87,1.30776,0.9694,0.01962,0.78148,0.64369,0.73548,0.44675,1.45858,1.08163,0.02194,0.0014606,0.0014606,0.0014606
29,5211.97,1.25818,0.91082,0.01863,0.77482,0.65845,0.73891,0.44999,1.45489,1.06798,0.02177,0.0010184,0.0010184,0.0010184
30,5388.39,1.21068,0.85855,0.0177,0.78473,0.65375,0.7421,0.45273,1.4524,1.05776,0.02173,0.0005762,0.0005762,0.0005762
