epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.295,1.43668,3.98917,0.01803,0.35695,0.25167,0.22566,0.11991,1.55465,2.52531,0.02423,0.00141913,0.00141913,0.0681063
2,426.048,1.39496,2.83666,0.01745,0.48212,0.35589,0.35187,0.18161,1.54378,2.13029,0.02463,0.00274543,0.00274543,0.0360993
3,612.789,1.38376,2.47199,0.01738,0.55332,0.39158,0.42343,0.22731,1.53693,1.94868,0.02487,0.00397802,0.00397802,0.00399856
4,803.63,1.37399,2.30438,0.01724,0.63184,0.43775,0.50147,0.26959,1.55186,1.74237,0.02477,0.00383826,0.00383826,0.00383826
5,996.111,1.35654,2.16499,0.01715,0.62851,0.478,0.53402,0.29093,1.53659,1.66289,0.02448,0.00369768,0.00369768,0.00369768
6,1190.04,1.35137,2.0548,0.01681,0.65325,0.48577,0.56073,0.30579,1.5354,1.58987,0.02397,0.0035571,0.0035571,0.0035571
7,1382.61,1.34025,1.96778,0.01682,0.69182,0.50931,0.58604,0.32101,1.51443,1.51219,0.02378,0.00341652,0.00341652,0.00341652
8,1571.47,1.32897,1.90145,0.01667,0.69419,0.53141,0.60359,0.3371,1.51915,1.43415,0.02372,0.00327594,0.00327594,0.00327594
9,1761.67,1.32968,1.83522,0.01649,0.69264,0.5522,0.61841,0.34571,1.50706,1.42174,0.02357,0.00313536,0.00313536,0.00313536
10,1952.68,1.31781,1.77671,0.01634,0.7192,0.5478,0.62753,0.35795,1.49511,1.36349,0.0231,0.00299478,0.00299478,0.00299478
11,2143.45,1.31334,1.72781,0.01618,0.72306,0.55909,0.64368,0.36894,1.49084,1.3359,0.02315,0.0028542,0.0028542,0.0028542
12,2336.73,1.30926,1.66948,0.01612,0.735,0.55997,0.65683,0.37947,1.4863,1.29505,0.02279,0.00271362,0.00271362,0.00271362
13,2530.04,1.2997,1.62938,0.01598,0.75287,0.57353,0.66461,0.38233,1.47858,1.28089,0.02265,0.00257304,0.00257304,0.00257304
14,2720.45,1.29385,1.59065,0.0158,0.73151,0.58355,0.66694,0.3884,1.47387,1.26287,0.02236,0.00243246,0.00243246,0.00243246
