epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.856,1.42337,3.71384,0.01928,0.45737,0.28398,0.30154,0.15684,1.6363,2.30466,0.02564,0.00375102,0.00375102,0.0704382
2,434.45,1.46564,2.62426,0.02013,0.61396,0.3667,0.40917,0.20177,1.68619,2.06209,0.02819,0.00725671,0.00725671,0.0406106
3,631.169,1.57023,2.46624,0.02201,0.57426,0.35901,0.40287,0.19932,1.75473,1.99778,0.02916,0.0105147,0.0105147,0.0105352
4,824.222,1.63261,2.42789,0.0231,0.57157,0.43704,0.46619,0.21969,1.82283,1.82006,0.03192,0.0101453,0.0101453,0.0101453
5,1036.51,1.61438,2.31827,0.02293,0.5809,0.44182,0.48522,0.23921,1.76839,1.78549,0.02949,0.00977368,0.00977368,0.00977368
6,1240.17,1.60421,2.23558,0.02246,0.59689,0.48256,0.52602,0.26498,1.69561,1.71231,0.02768,0.0094021,0.0094021,0.0094021
7,1443.79,1.59525,2.19411,0.02245,0.61486,0.49054,0.53738,0.26885,1.69692,1.65891,0.02808,0.00903052,0.00903052,0.00903052
8,1648.56,1.58817,2.13902,0.02244,0.64227,0.51407,0.56933,0.29616,1.69184,1.53926,0.02728,0.00865894,0.00865894,0.00865894
9,1853.93,1.58396,2.09121,0.02212,0.66778,0.50204,0.57442,0.30072,1.66538,1.53204,0.02687,0.00828736,0.00828736,0.00828736
10,2045.76,1.57957,2.06251,0.02216,0.62718,0.54829,0.59087,0.30941,1.64278,1.50144,0.02698,0.00791578,0.00791578,0.00791578
11,2240.46,1.57103,2.02472,0.0219,0.69226,0.52689,0.59887,0.32598,1.60901,1.4498,0.02568,0.0075442,0.0075442,0.0075442
12,2432.68,1.55661,1.99468,0.02163,0.66796,0.5633,0.61673,0.33416,1.57456,1.41297,0.02512,0.00717262,0.00717262,0.00717262
13,2625.49,1.55297,1.93839,0.02162,0.67986,0.56995,0.62867,0.34109,1.60166,1.36274,0.02561,0.00680104,0.00680104,0.00680104
14,2831.64,1.53498,1.88137,0.02132,0.71065,0.5633,0.63553,0.35048,1.5729,1.34301,0.02481,0.00642946,0.00642946,0.00642946
15,3034.53,1.5277,1.86737,0.02108,0.73185,0.55982,0.64819,0.3584,1.57215,1.33032,0.02498,0.00605788,0.00605788,0.00605788
16,3237.99,1.50886,1.83131,0.02073,0.71956,0.58109,0.65726,0.36819,1.54471,1.29332,0.02415,0.0056863,0.0056863,0.0056863
17,3441.63,1.49999,1.79341,0.02056,0.70928,0.58721,0.6579,0.37351,1.52719,1.30406,0.02403,0.00531472,0.00531472,0.00531472
18,3646.41,1.48521,1.75216,0.02031,0.72594,0.59888,0.67047,0.37996,1.53504,1.26335,0.02396,0.00494314,0.00494314,0.00494314
19,3843.76,1.47231,1.73418,0.01991,0.76093,0.59247,0.68313,0.38829,1.51827,1.24339,0.02354,0.00457156,0.00457156,0.00457156
20,4035.93,1.45023,1.65815,0.01973,0.76774,0.58945,0.69018,0.39575,1.50607,1.21881,0.02343,0.00419998,0.00419998,0.00419998
21,4242.43,1.57454,1.45253,0.02617,0.77073,0.60205,0.70051,0.40691,1.49691,1.19198,0.0231,0.0038284,0.0038284,0.0038284
22,4433.81,1.54521,1.37419,0.0253,0.77405,0.61166,0.70507,0.41443,1.48904,1.16793,0.02292,0.00345682,0.00345682,0.00345682
23,4624.45,1.50189,1.29156,0.02435,0.75511,0.62665,0.71138,0.42026,1.48228,1.14964,0.02276,0.00308524,0.00308524,0.00308524
24,4814.52,1.4728,1.2193,0.02349,0.7605,0.62081,0.71552,0.42748,1.4791,1.12014,0.02256,0.00271366,0.00271366,0.00271366
25,5005.09,1.43871,1.13627,0.02267,0.79026,0.61529,0.7211,0.43332,1.47567,1.10747,0.02236,0.00234208,0.00234208,0.00234208
26,5195.84,1.38212,1.07576,0.0213,0.79487,0.61757,0.72645,0.43861,1.47301,1.08725,0.02228,0.0019705,0.0019705,0.0019705
27,5386.3,1.34228,1.01183,0.0204,0.80328,0.6225,0.73122,0.44208,1.46932,1.07876,0.02216,0.00159892,0.00159892,0.00159892
28,5577.76,1.29239,0.94884,0.01937,0.79891,0.63029,0.73473,0.44622,1.45869,1.07422,0.02198,0.00122734,0.00122734,0.00122734
29,5768.99,1.24531,0.88766,0.01848,0.80376,0.62979,0.7364,0.44832,1.45607,1.06526,0.0219,0.00085576,0.00085576,0.00085576
30,5960.03,1.20698,0.83834,0.01758,0.79723,0.63826,0.73876,0.45061,1.45525,1.05317,0.02188,0.00048418,0.00048418,0.00048418
