epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.856,1.42337,3.71384,0.01928,0.45737,0.28398,0.30154,0.15684,1.6363,2.30466,0.02564,0.00375102,0.00375102,0.0704382
2,434.45,1.46564,2.62426,0.02013,0.61396,0.3667,0.40917,0.20177,1.68619,2.06209,0.02819,0.00725671,0.00725671,0.0406106
3,631.169,1.57023,2.46624,0.02201,0.57426,0.35901,0.40287,0.19932,1.75473,1.99778,0.02916,0.0105147,0.0105147,0.0105352
4,824.222,1.63261,2.42789,0.0231,0.57157,0.43704,0.46619,0.21969,1.82283,1.82006,0.03192,0.0101453,0.0101453,0.0101453
