epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.665,1.41671,3.88655,0.01873,0.42178,0.26805,0.25972,0.13431,1.58426,2.41958,0.0247,0.00227193,0.00227193,0.0689591
2,389.969,1.39377,2.72708,0.01844,0.53674,0.33713,0.36005,0.18854,1.56414,2.12812,0.02529,0.00439527,0.00439527,0.0377491
3,571.486,1.38412,2.43031,0.01844,0.58469,0.43546,0.46551,0.24196,1.61499,1.82552,0.02636,0.00636857,0.00636857,0.00638911
4,750.651,1.38507,2.25789,0.01842,0.62431,0.46779,0.52871,0.28645,1.53502,1.64866,0.02462,0.00614482,0.00614482,0.00614482
5,930.407,1.37061,2.11922,0.01826,0.63051,0.47685,0.537,0.28416,1.58857,1.66094,0.02491,0.00591976,0.00591976,0.00591976
6,1108.49,1.36088,2.00637,0.01791,0.64395,0.52111,0.57971,0.30966,1.57152,1.54261,0.02472,0.0056947,0.0056947,0.0056947
7,1287.09,1.35642,1.91596,0.01795,0.64647,0.52319,0.58524,0.31985,1.52498,1.51213,0.02381,0.00546964,0.00546964,0.00546964
8,1465.06,1.34676,1.83743,0.01776,0.71156,0.55763,0.63199,0.35731,1.50908,1.38609,0.02366,0.00524458,0.00524458,0.00524458
9,1644.21,1.34309,1.75869,0.0176,0.70521,0.56002,0.63998,0.36073,1.49319,1.35582,0.02307,0.00501952,0.00501952,0.00501952
10,1817.62,1.32824,1.70792,0.01739,0.72631,0.58233,0.66197,0.37439,1.49832,1.30605,0.02313,0.00479446,0.00479446,0.00479446
11,1991.36,1.32548,1.6489,0.01716,0.73922,0.58091,0.66818,0.38411,1.48003,1.28514,0.02253,0.0045694,0.0045694,0.0045694
12,2164.97,1.31076,1.60869,0.01686,0.74899,0.60084,0.68363,0.39293,1.48274,1.24068,0.02254,0.00434434,0.00434434,0.00434434
13,2338.44,1.30193,1.5583,0.01676,0.7381,0.60736,0.6903,0.40249,1.44521,1.22751,0.02186,0.00411928,0.00411928,0.00411928
14,2512.72,1.28938,1.51066,0.01652,0.74009,0.61546,0.69528,0.40993,1.45692,1.19682,0.02197,0.00389422,0.00389422,0.00389422
15,2686.79,1.28122,1.48319,0.0163,0.75816,0.61322,0.70181,0.41318,1.46522,1.18558,0.02208,0.00366916,0.00366916,0.00366916
16,2861.01,1.27616,1.43796,0.01617,0.75608,0.63213,0.71405,0.42117,1.45664,1.14359,0.02172,0.0034441,0.0034441,0.0034441
17,3034.62,1.268,1.41047,0.016,0.75828,0.63018,0.71483,0.42073,1.45875,1.13168,0.02185,0.00321904,0.00321904,0.00321904
18,3208.08,1.25783,1.37272,0.01584,0.77676,0.6313,0.72304,0.42813,1.45347,1.1304,0.02172,0.00299398,0.00299398,0.00299398
19,3381.79,1.24993,1.36124,0.01557,0.76287,0.64245,0.72863,0.43643,1.43697,1.10988,0.02153,0.00276892,0.00276892,0.00276892
20,3556.14,1.2271,1.30816,0.01539,0.78536,0.62578,0.72812,0.43699,1.44379,1.10368,0.02149,0.00254386,0.00254386,0.00254386
21,3745.19,1.29509,1.0907,0.01965,0.78015,0.63022,0.72847,0.44133,1.44132,1.08078,0.0215,0.0023188,0.0023188,0.0023188
22,3918.97,1.26992,1.04495,0.01907,0.7701,0.64737,0.73547,0.44739,1.44046,1.06745,0.02141,0.00209374,0.00209374,0.00209374
23,4092.86,1.24411,0.99511,0.01843,0.76965,0.64938,0.73728,0.45018,1.43332,1.06042,0.02119,0.00186868,0.00186868,0.00186868
24,4266.85,1.23239,0.97001,0.01813,0.75889,0.66083,0.73699,0.45135,1.42847,1.05839,0.02109,0.00164362,0.00164362,0.00164362
25,4440.86,1.21143,0.94407,0.01774,0.77842,0.65853,0.74063,0.45474,1.42558,1.05206,0.02109,0.00141856,0.00141856,0.00141856
26,4614.41,1.19318,0.92225,0.01732,0.76625,0.66226,0.73948,0.45511,1.42347,1.04632,0.02106,0.0011935,0.0011935,0.0011935
27,4788.81,1.18251,0.89968,0.0171,0.76277,0.66637,0.74109,0.45689,1.42099,1.04531,0.02098,0.00096844,0.00096844,0.00096844
28,4964.77,1.16575,0.88341,0.01673,0.76485,0.66465,0.7431,0.45836,1.42543,1.0369,0.02104,0.00074338,0.00074338,0.00074338
29,5138.87,1.15515,0.86301,0.01664,0.77268,0.65935,0.74377,0.45974,1.42614,1.03479,0.02102,0.00051832,0.00051832,0.00051832
30,5312.17,1.14383,0.86101,0.01644,0.77319,0.66029,0.74352,0.45949,1.42605,1.03413,0.021,0.00029326,0.00029326,0.00029326
