epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.114,1.43196,3.93033,0.01826,0.40022,0.23529,0.22845,0.11882,1.55523,2.52657,0.02392,0.00190882,0.00190882,0.068596
2,395.916,1.40759,2.7696,0.01802,0.52439,0.36452,0.38372,0.19007,1.58858,2.08181,0.02599,0.0036928,0.0036928,0.0370467
3,578.727,1.4099,2.45441,0.01806,0.58284,0.41165,0.44698,0.23585,1.55228,1.84701,0.0248,0.00535072,0.00535072,0.00537126
4,759.988,1.41263,2.29891,0.01814,0.60471,0.45035,0.50326,0.26992,1.57961,1.69136,0.0252,0.00516273,0.00516273,0.00516273
5,944.614,1.40324,2.1442,0.01813,0.64633,0.4785,0.54095,0.28905,1.58531,1.65333,0.02526,0.00497364,0.00497364,0.00497364
6,1127.64,1.39706,2.03437,0.01785,0.67371,0.50526,0.58066,0.32001,1.54386,1.55228,0.02423,0.00478455,0.00478455,0.00478455
7,1314,1.39412,1.94604,0.01796,0.65618,0.52639,0.58729,0.32077,1.57571,1.49395,0.02457,0.00459546,0.00459546,0.00459546
8,1491.84,1.38931,1.86225,0.01788,0.67927,0.56082,0.62525,0.34745,1.54796,1.39448,0.0244,0.00440637,0.00440637,0.00440637
9,1669.9,1.3897,1.79584,0.0177,0.70163,0.56811,0.63696,0.35276,1.55544,1.35278,0.02449,0.00421728,0.00421728,0.00421728
10,1852.35,1.38083,1.739,0.01758,0.6863,0.58132,0.64009,0.36165,1.534,1.30607,0.02394,0.00402819,0.00402819,0.00402819
