epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.246,1.41136,3.86469,0.01889,0.45118,0.26879,0.27115,0.14192,1.5604,2.40713,0.02398,0.00223862,0.00223862,0.0689258
2,433.736,1.41461,2.70381,0.01918,0.52887,0.34106,0.35547,0.17712,1.63589,2.14211,0.02609,0.00443428,0.00443428,0.0377882
3,636.701,1.46626,2.4601,0.02006,0.57053,0.39595,0.4227,0.20619,1.69629,2.04683,0.02759,0.00658559,0.00658559,0.00660613
4,836.967,1.52681,2.36284,0.02116,0.62428,0.46189,0.51617,0.26339,1.67383,1.70138,0.02765,0.00652042,0.00652042,0.00652042
5,1036.45,1.51643,2.22019,0.02101,0.62052,0.46227,0.51622,0.26028,1.71242,1.76092,0.02771,0.00645389,0.00645389,0.00645389
6,1233.11,1.50716,2.13086,0.02062,0.61775,0.50502,0.54403,0.28378,1.64659,1.64697,0.02712,0.00638736,0.00638736,0.00638736
7,1423.22,1.50927,2.06545,0.02087,0.6206,0.50353,0.55194,0.28484,1.64155,1.57983,0.02661,0.00632083,0.00632083,0.00632083
8,1613.48,1.49895,2.0163,0.0207,0.6566,0.53902,0.5928,0.31564,1.61994,1.47928,0.02573,0.0062543,0.0062543,0.0062543
9,1804.43,1.50604,1.96107,0.02064,0.68174,0.54686,0.61036,0.3277,1.62712,1.42771,0.02599,0.00618778,0.00618778,0.00618778
10,1995.54,1.48932,1.94165,0.02044,0.67908,0.55706,0.61824,0.33577,1.58786,1.40385,0.02514,0.00612125,0.00612125,0.00612125
11,2187.48,1.48938,1.90617,0.02027,0.70577,0.55582,0.6257,0.34658,1.57304,1.37675,0.02481,0.00605472,0.00605472,0.00605472
12,2378.29,1.49199,1.87591,0.02035,0.70804,0.57089,0.63877,0.35291,1.56117,1.34768,0.0248,0.00598819,0.00598819,0.00598819
13,2569.54,1.48059,1.84217,0.02021,0.71338,0.59458,0.65737,0.36862,1.56052,1.27437,0.02443,0.00592166,0.00592166,0.00592166
14,2759.24,1.4806,1.81257,0.02014,0.69829,0.59376,0.65604,0.36868,1.5349,1.29559,0.02412,0.00585514,0.00585514,0.00585514
15,2948.81,1.47506,1.81098,0.02002,0.7262,0.59681,0.67366,0.37555,1.5504,1.27532,0.02448,0.00578861,0.00578861,0.00578861
16,3138.95,1.47212,1.7754,0.01995,0.72951,0.59972,0.67637,0.38165,1.53059,1.24852,0.02386,0.00572208,0.00572208,0.00572208
17,3328.39,1.47168,1.76572,0.01992,0.73069,0.60524,0.67775,0.38585,1.52813,1.24973,0.02388,0.00565555,0.00565555,0.00565555
18,3514.38,1.47041,1.73933,0.01996,0.74791,0.6,0.68372,0.38979,1.53757,1.21491,0.02397,0.00558902,0.00558902,0.00558902
19,3703.18,1.47426,1.74427,0.01985,0.74824,0.61039,0.68863,0.39536,1.51445,1.2038,0.0236,0.0055225,0.0055225,0.0055225
20,3889.64,1.45933,1.69837,0.01982,0.76936,0.61206,0.69497,0.39878,1.50242,1.18884,0.02326,0.00545597,0.00545597,0.00545597
21,4081.03,1.46075,1.69356,0.01971,0.75717,0.6145,0.69886,0.40364,1.49326,1.1874,0.02317,0.00538944,0.00538944,0.00538944
22,4272.34,1.45318,1.67963,0.01958,0.75019,0.61384,0.69476,0.40666,1.48807,1.17945,0.02299,0.00532291,0.00532291,0.00532291
23,4463.12,1.45416,1.66337,0.01959,0.75926,0.6132,0.70097,0.41034,1.49544,1.16786,0.0231,0.00525638,0.00525638,0.00525638
