epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.24,1.42594,3.86607,0.01864,0.4658,0.27539,0.27777,0.14691,1.53933,2.40783,0.02409,0.00186219,0.00186219,0.0685494
2,426.372,1.42541,2.70167,0.01879,0.52194,0.36001,0.3746,0.18845,1.64253,2.12167,0.0264,0.00360258,0.00360258,0.0369564
3,623.169,1.56752,2.58864,0.02123,0.44877,0.29316,0.28087,0.11937,1.96343,2.54787,0.03394,0.00521999,0.00521999,0.00524053
4,816.971,1.76927,2.77464,0.02475,0.56075,0.32624,0.34044,0.15425,1.85525,2.22306,0.03181,0.00503659,0.00503659,0.00503659
5,1009.74,1.71298,2.54374,0.02381,0.57588,0.41012,0.44496,0.20798,1.84022,1.90139,0.03097,0.00485212,0.00485212,0.00485212
6,1203.2,1.66965,2.39715,0.02287,0.55382,0.4599,0.47645,0.22824,1.76147,1.86096,0.02991,0.00466765,0.00466765,0.00466765
7,1396.12,1.64249,2.2983,0.02249,0.59966,0.44084,0.4895,0.23967,1.69799,1.84798,0.02827,0.00448318,0.00448318,0.00448318
8,1589.96,1.61997,2.23226,0.02214,0.63531,0.46736,0.52547,0.27195,1.66732,1.69149,0.02741,0.00429871,0.00429871,0.00429871
9,1783.47,1.60942,2.15761,0.02182,0.62338,0.49828,0.54102,0.27681,1.67085,1.66042,0.02709,0.00411424,0.00411424,0.00411424
10,1976.43,1.58596,2.10366,0.02156,0.64189,0.52471,0.5714,0.30405,1.61856,1.54021,0.02644,0.00392977,0.00392977,0.00392977
11,2169.14,1.57829,2.05374,0.02118,0.66804,0.53104,0.59064,0.31858,1.61438,1.50602,0.02621,0.0037453,0.0037453,0.0037453
12,2361.45,1.56886,2.01231,0.02096,0.66033,0.54658,0.59768,0.32554,1.60324,1.4477,0.0254,0.00356083,0.00356083,0.00356083
13,2554.6,1.54845,1.9402,0.02078,0.68513,0.55742,0.62801,0.34355,1.57533,1.38736,0.02501,0.00337636,0.00337636,0.00337636
14,2748.74,1.53506,1.90032,0.02047,0.68934,0.55525,0.62663,0.35093,1.56334,1.36883,0.0248,0.00319189,0.00319189,0.00319189
15,2942.43,1.52638,1.86849,0.02029,0.70876,0.58888,0.6483,0.35888,1.55774,1.35616,0.02463,0.00300742,0.00300742,0.00300742
