epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.704,1.45508,3.65571,0.01904,0.50284,0.3202,0.32972,0.16584,1.62748,2.25687,0.02599,0.00488699,0.00488699,0.0715742
2,408.496,1.49227,2.60418,0.01986,0.58361,0.38226,0.41043,0.19925,1.74261,2.03874,0.02909,0.00945435,0.00945435,0.0428082
3,596.839,1.56206,2.41313,0.02096,0.59691,0.4289,0.47332,0.23942,1.7006,1.83011,0.02778,0.013699,0.013699,0.0137195
4,779.099,1.59069,2.32428,0.02134,0.6065,0.46415,0.5011,0.24776,1.74414,1.7365,0.02875,0.0132177,0.0132177,0.0132177
5,963.247,1.57197,2.20868,0.02119,0.59867,0.4809,0.5197,0.266,1.70279,1.72946,0.02763,0.0127336,0.0127336,0.0127336
6,1150.4,1.56772,2.1103,0.02085,0.62227,0.49682,0.54262,0.28042,1.68406,1.61503,0.02736,0.0122495,0.0122495,0.0122495
7,1335.68,1.56127,2.05241,0.02094,0.63639,0.5253,0.57405,0.30084,1.62377,1.5569,0.02612,0.0117653,0.0117653,0.0117653
8,1518.74,1.54843,2.00268,0.02077,0.69281,0.53152,0.59889,0.31111,1.65192,1.46921,0.0268,0.0112812,0.0112812,0.0112812
9,1701.57,1.54606,1.93626,0.02059,0.68295,0.53872,0.61408,0.32744,1.62743,1.42332,0.02622,0.0107971,0.0107971,0.0107971
10,1883.57,1.52677,1.8968,0.02027,0.68653,0.55103,0.62111,0.34022,1.5817,1.3725,0.0251,0.010313,0.010313,0.010313
11,2066.81,1.52133,1.85828,0.02001,0.70429,0.56806,0.63625,0.35121,1.57245,1.33,0.02477,0.0098289,0.0098289,0.0098289
12,2249.03,1.51237,1.81237,0.01983,0.70568,0.59454,0.65749,0.36435,1.56399,1.2885,0.02483,0.00934479,0.00934479,0.00934479
13,2431.98,1.50152,1.76431,0.01978,0.68785,0.59145,0.6539,0.35945,1.55703,1.29346,0.02461,0.00886068,0.00886068,0.00886068
14,2613.97,1.48959,1.72729,0.0195,0.7284,0.5883,0.66884,0.37726,1.52775,1.26256,0.02387,0.00837657,0.00837657,0.00837657
15,2795.93,1.4767,1.68792,0.01918,0.71697,0.61469,0.67978,0.38208,1.53595,1.2456,0.024,0.00789246,0.00789246,0.00789246
16,2969.84,1.45807,1.64741,0.01884,0.75374,0.59771,0.69427,0.39566,1.51736,1.19181,0.0236,0.00740835,0.00740835,0.00740835
17,3143.12,1.45453,1.60641,0.01874,0.75489,0.61571,0.6976,0.40383,1.5028,1.17975,0.02324,0.00692424,0.00692424,0.00692424
18,3316.49,1.43758,1.55949,0.01852,0.75605,0.62222,0.70862,0.41116,1.50832,1.1702,0.02337,0.00644013,0.00644013,0.00644013
19,3509.23,1.42907,1.53407,0.01823,0.75817,0.62946,0.71362,0.41573,1.50251,1.14027,0.02321,0.00595602,0.00595602,0.00595602
20,3709.37,1.39901,1.48858,0.01795,0.7767,0.62607,0.7182,0.42192,1.48748,1.12505,0.0228,0.00547191,0.00547191,0.00547191
21,3916.05,1.49688,1.30885,0.02394,0.75477,0.64257,0.72546,0.42996,1.47298,1.10245,0.02244,0.0049878,0.0049878,0.0049878
22,4108.41,1.47147,1.22678,0.02324,0.75852,0.64989,0.72998,0.43601,1.47298,1.08684,0.02252,0.00450369,0.00450369,0.00450369
23,4305.51,1.43481,1.15106,0.02223,0.76711,0.65043,0.7359,0.4426,1.4664,1.06877,0.02223,0.00401958,0.00401958,0.00401958
24,4496.79,1.40028,1.08395,0.02145,0.78197,0.65247,0.74234,0.44877,1.45923,1.04757,0.02197,0.00353547,0.00353547,0.00353547
25,4691.78,1.35969,1.02463,0.02051,0.7974,0.65226,0.74495,0.45496,1.45602,1.03444,0.02182,0.00305136,0.00305136,0.00305136
26,4880.45,1.31276,0.97976,0.01949,0.79132,0.6581,0.74914,0.45839,1.4522,1.02424,0.02172,0.00256725,0.00256725,0.00256725
27,5067.46,1.28212,0.91724,0.01881,0.80464,0.65966,0.75589,0.46265,1.44574,1.01929,0.02163,0.00208314,0.00208314,0.00208314
28,5263.08,1.23704,0.86667,0.01789,0.81101,0.66343,0.75748,0.46595,1.44174,1.01419,0.02153,0.00159903,0.00159903,0.00159903
29,5450.54,1.19949,0.81912,0.01716,0.80703,0.66282,0.75872,0.46766,1.43911,1.01124,0.0215,0.00111492,0.00111492,0.00111492
30,5635.71,1.16681,0.78364,0.01654,0.81258,0.66513,0.76097,0.46957,1.43967,1.00526,0.02146,0.00063081,0.00063081,0.00063081
